תוצאות חיפוש קרנות נאמנות (סה"כ 2061 קרנות)
 08/01/2019 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,87.89,87.89,3.58,07/01/2019,,,לא מתחייבת לחלק תשלומים,1.58,1.58,-12.75,2.05,ב'-ה',25.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,102.74,102.74,6.04,07/01/2019,,,לא מתחייבת לחלק תשלומים,9.31,9.31,0.75,2.16,,62.4,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,103.24,103.24,4.89,07/01/2019,,,לא מתחייבת לחלק תשלומים,3.55,3.55,-4.02,1.65,,1388.4,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,97.76,97.76,2.68,07/01/2019,,,לא מתחייבת לחלק תשלומים,0.84,0.84,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4327.04,4327.04,0.88,08/01/2019,,,לא מתחייבת לחלק תשלומים,1.57,1.57,-2.21,1.73,א'-ה',235.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,619.89,619.89,2.01,07/01/2019,,,לא מתחייבת לחלק תשלומים,1.15,1.15,-7.28,1.80,ב'-ה',214.9,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,107.23,107.23,1.25,07/01/2019,,,לא מתחייבת לחלק תשלומים,0.23,0.23,2.50,1.05,,173.0,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,94.77,94.77,0.99,07/01/2019,,,לא מתחייבת לחלק תשלומים,2.13,2.13,,1.30,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,114.39,114.39,4.05,07/01/2019,,,לא מתחייבת לחלק תשלומים,3.31,3.31,8.41,2.00,,141.9,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,622.54,622.54,0.72,08/01/2019,,,לא מתחייבת לחלק תשלומים,0.55,0.55,-2.11,1.44,א'-ה',26.3,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,108.10,105.98,1.15,07/01/2019,,,לא מתחייבת לחלק תשלומים,1.09,1.09,-1.58,0.98,,47.0,2.000,0.200,0.020,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,324.43,318.07,0.30,08/01/2019,,,לא מתחייבת לחלק תשלומים,0.45,0.45,-2.28,0.66,א'-ה',53.2,2.000,0.390,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקעות גביש,פטורה,05128582,,4D,גמישות,,,98.92,98.92,0.34,07/01/2019,,,לא מתחייבת לחלק תשלומים,0.05,0.05,,,,,0.000,1.550,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,93.81,93.81,5.74,07/01/2019,,,לא מתחייבת לחלק תשלומים,7.24,7.24,-5.73,3.42,,3.3,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,187.45,187.45,0.74,08/01/2019,,,לא מתחייבת לחלק תשלומים,1.11,1.11,-6.46,1.47,א'-ה',382.7,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,,4D,גמישות,,,92.07,92.07,1.57,07/01/2019,,,לא מתחייבת לחלק תשלומים,0.71,0.71,-9.83,1.84,,26.9,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,105.31,105.31,3.94,07/01/2019,,,לא מתחייבת לחלק תשלומים,1.59,1.59,-4.96,2.09,,18.9,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,,4D,גמישות,,,214.72,214.72,5.13,07/01/2019,,,לא מתחייבת לחלק תשלומים,2.47,2.47,-6.23,3.04,ב'-ה',80.7,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,,4D,גמישות,,,104.17,104.17,1.76,07/01/2019,,,לא מתחייבת לחלק תשלומים,1.06,1.06,-4.37,1.58,,28.8,0.000,1.590,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,,4D,גמישות,,,120.42,120.42,5.86,07/01/2019,,,לא מתחייבת לחלק תשלומים,3.13,3.13,-2.51,2.76,ב'-ה',211.8,0.000,1.400,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
