תוצאות חיפוש קרנות נאמנות (סה"כ 2056 קרנות)
 04/02/2019 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,92.17,92.17,-0.46,31/01/2019,,,לא מתחייבת לחלק תשלומים,6.53,6.53,-8.50,2.42,ב'-ה',18.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,106.74,106.74,0.16,31/01/2019,,,לא מתחייבת לחלק תשלומים,13.57,13.57,4.67,2.85,,37.8,0.000,1.260,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,108.41,108.41,0.02,31/01/2019,,,לא מתחייבת לחלק תשלומים,8.74,8.74,0.79,2.12,,1025.2,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,101.32,101.32,0.31,31/01/2019,,,לא מתחייבת לחלק תשלומים,4.51,4.51,,,,0.4,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4494.59,4494.59,0.04,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.75,5.50,-0.27,1.84,א'-ה',208.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,645.20,645.20,0.67,31/01/2019,,,לא מתחייבת לחלק תשלומים,5.28,5.28,-3.49,1.93,ב'-ה',196.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,109.52,109.52,0.16,31/01/2019,,,לא מתחייבת לחלק תשלומים,2.37,2.37,4.69,1.06,,173.0,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,100.43,100.43,0.80,31/01/2019,,,לא מתחייבת לחלק תשלומים,8.23,8.23,,1.57,,8.6,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,117.30,117.30,0.26,31/01/2019,,,לא מתחייבת לחלק תשלומים,5.93,5.93,11.16,2.22,,118.0,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,635.75,635.75,-0.01,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.15,2.68,-2.74,1.47,א'-ה',24.9,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
