תוצאות חיפוש קרנות נאמנות (סה"כ 1429 קרנות)
 03/06/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,99.49,99.49,-0.36,31/05/2018,,,לא מתחייבת לחלק תשלומים,-0.76,-1.23,2.32,1.48,ב'-ה',39.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,133.54,133.54,0.30,03/06/2018,,,לא מתחייבת לחלק תשלומים,0.30,-2.04,-5.14,1.33,א'-ה',40.1,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,103.56,103.54,0.45,31/05/2018,,,לא מתחייבת לחלק תשלומים,-1.79,-4.17,-2.84,1.38,,26.8,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,,4D,גמישות,,,104.05,104.05,0.22,31/05/2018,,,לא מתחייבת לחלק תשלומים,1.05,-5.37,-2.47,1.49,,33.1,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,111.60,111.60,-0.13,31/05/2018,,,לא מתחייבת לחלק תשלומים,0.78,3.76,11.61,0.75,,961.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,97.21,97.21,0.38,31/05/2018,,,לא מתחייבת לחלק תשלומים,0.00,-2.79,,,,2.9,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4428.05,4428.05,0.70,03/06/2018,,,לא מתחייבת לחלק תשלומים,0.70,0.07,1.33,1.17,א'-ה',269.2,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,,4D,גמישות,,,655.86,655.86,0.43,31/05/2018,,,לא מתחייבת לחלק תשלומים,1.43,-1.90,-0.04,1.62,ב'-ה',232.3,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,107.69,107.69,-0.09,31/05/2018,,,לא מתחייבת לחלק תשלומים,1.24,2.94,,1.18,,49.2,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,94.75,94.75,0.16,03/06/2018,,,לא מתחייבת לחלק תשלומים,0.16,-5.17,-4.33,1.58,א'-ה',5.2,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
