תוצאות חיפוש קרנות נאמנות (סה"כ 1487 קרנות)
 04/10/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
הראל HTF גילון,פטורה,05128103,,00,,,,,,,,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.100,0.020,לא נגבית עמלת הפצה,,
הראל HTF ממשלתי שקלי,פטורה,05128129,,00,,,,,,,,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.100,0.020,לא נגבית עמלת הפצה,,
הראל HTF שחר,פטורה,05128111,,00,,,,,,,,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.100,0.020,לא נגבית עמלת הפצה,,
הראל HTF שחר 5+,פטורה,05128137,,00,,,,,,,,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.100,0.020,לא נגבית עמלת הפצה,,
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,103.94,103.94,0.62,03/10/2018,,,לא מתחייבת לחלק תשלומים,1.47,3.19,5.58,1.18,ב'-ה',32.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.70,135.70,-0.85,04/10/2018,,,לא מתחייבת לחלק תשלומים,-0.25,-0.45,2.23,1.00,א'-ה',37.0,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,107.15,107.14,0.30,03/10/2018,,,לא מתחייבת לחלק תשלומים,1.19,-0.83,2.07,1.31,,10.8,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,116.14,116.14,0.52,03/10/2018,,,לא מתחייבת לחלק תשלומים,2.09,13.89,16.36,1.34,,66.2,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,113.23,113.23,-0.04,02/10/2018,,,לא מתחייבת לחלק תשלומים,-0.04,5.27,8.62,0.77,,1580.7,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,97.43,97.43,-0.28,03/10/2018,,,לא מתחייבת לחלק תשלומים,-0.72,-2.57,,1.48,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4675.79,4675.79,-0.86,04/10/2018,,,לא מתחייבת לחלק תשלומים,0.12,5.67,7.68,1.08,א'-ה',245.2,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,691.91,691.91,0.74,03/10/2018,,,לא מתחייבת לחלק תשלומים,1.14,3.49,4.66,1.23,ב'-ה',230.2,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,112.29,112.29,-0.17,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.44,7.34,11.83,0.78,,104.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,4,4D,גמישות,,,97.30,97.30,0.03,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.05,,,,ב'-ה',7.1,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,4,4D,גמישות,,,104.99,104.99,0.10,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.46,,,,,9.6,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,4,4D,גמישות,,,123.49,123.49,0.37,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.46,17.03,24.25,1.58,,84.4,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,647.30,647.30,-0.93,04/10/2018,,,לא מתחייבת לחלק תשלומים,-0.72,1.78,8.84,1.48,א'-ה',28.0,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,4,4D,גמישות,,,112.73,112.73,0.08,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.48,4.69,6.83,0.58,,47.5,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,326.80,326.80,-0.27,04/10/2018,,,לא מתחייבת לחלק תשלומים,-0.05,0.41,2.77,0.49,א'-ה',54.9,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,4,4D,גמישות,,,108.38,108.38,-1.23,03/10/2018,,,לא מתחייבת לחלק תשלומים,-1.10,8.91,,2.21,,5.2,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,200.19,200.19,-0.76,04/10/2018,,,לא מתחייבת לחלק תשלומים,-0.33,-0.10,2.42,1.12,א'-ה',441.8,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,4,4D,גמישות,,,102.72,102.72,0.01,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.27,0.60,0.90,1.24,,35.8,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,4,4D,גמישות,,,118.92,118.92,0.14,03/10/2018,,,לא מתחייבת לחלק תשלומים,1.18,7.32,13.72,1.58,,23.6,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,4,4D,גמישות,,,251.49,251.49,-0.23,03/10/2018,,,לא מתחייבת לחלק תשלומים,-0.29,9.83,13.79,1.85,ב'-ה',93.7,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,4,4D,גמישות,,,111.46,111.46,0.17,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.78,2.32,4.26,1.12,,36.9,0.000,1.290,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,4,4D,גמישות,,,134.35,134.35,0.17,03/10/2018,,,לא מתחייבת לחלק תשלומים,2.03,8.77,17.16,1.66,ב'-ה',198.4,0.000,0.600,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
