"תוצאות חיפוש קרנות נאמנות (סה""כ 1431 קרנות)",,,,,,,,,,,,,,,,,,,,,,,,,,
 08/08/2018 ***,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מעמד מס*,"מס' ני""ע",קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,"קרן קפ""מ אומדן תשואה שנתית","קרן קפ""מ תאריך נכונות****",מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,"שווי נכסים (מליוני ש""ח)",שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,5119995,,4D,גמישות,,,101.02,101.02,-0.16,7/8/2018,,,לא מתחייבת לחלק תשלומים,0.94,0.29,4.25,1.42,ב'-ה',36.1,0,1.85,0.05,0.35%,"מודלים קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
אזימוט השקעות 4D,פטורה,5114285,,4D,גמישות,,,132.38,132.38,0.11,8/8/2018,,,לא מתחייבת לחלק תשלומים,1.22,-2.89,-7.68,1.19,א'-ה',38.8,0,1.94,0.05,0.35%,"מיטב דש קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
אילים 4D גמישה,פטורה,5123732,,4D,גמישות,,,104.91,104.9,0.23,7/8/2018,,,לא מתחייבת לחלק תשלומים,1.46,-2.91,-0.36,1.27,,16.7,0,0.95,0.04,0.35%,"אילים קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
אלומות 4D גמישה,פטורה,5124797,,4D,גמישות,,,113.37,113.37,0.07,7/8/2018,,,לא מתחייבת לחלק תשלומים,0,11.17,13.02,1.67,,28.5,0,1.26,0.07,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
אלטשולר 4D גמישה,פטורה,5124201,,4D,גמישות,,,112.2,112.2,0.19,7/8/2018,,,לא מתחייבת לחלק תשלומים,0.84,4.31,9.86,0.74,,1518.8,0,0.95,0.04,0.35%,"אלטשולר-שחם ניהול קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
אלפא ביתא 4D השקעות,פטורה,5126362,,4D,גמישות,,,96.84,96.84,0.32,7/8/2018,,,לא מתחייבת לחלק תשלומים,1.63,-3.16,,1.74,,0.7,0,0.95,0.05,0.35%,"מיטב דש קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
אנליסט גמישה 4D קרן נאמנ,פטורה,5120795,,4D,גמישות,,,4500.89,4500.89,0.02,8/8/2018,,,לא מתחייבת לחלק תשלומים,1.87,1.72,4.94,1.2,א'-ה',236.8,0,1.93,0.04,0.35%,"אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
אנליסט השקעות 4D,פטורה,5101639,4,4D,גמישות,,,660.27,660.27,0.22,7/8/2018,,,לא מתחייבת לחלק תשלומים,1.8,-1.24,1.46,1.58,ב'-ה',221.5,0,1.94,0.04,0.35%,"אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
אפסילון 4D גמישה,פטורה,5124920,,4D,גמישות,,,110.9,110.9,-0.12,7/8/2018,,,לא מתחייבת לחלק תשלומים,1.62,6.01,,1.23,,83.9,0,1.3,0.05,0.35%,אפסילון ניהול קרנות נאמנות,"מזרחי טפחות חברה לנאמנות בע""מ"
ברק 4D גמישה,פטורה,5121066,,4D,גמישות,,,97.51,97.51,0.18,7/8/2018,,,לא מתחייבת לחלק תשלומים,1.56,,,,ב'-ה',7.2,0,1.8,0.1,0.35%,"איילון קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
דולפין 4D גמישה,פטורה,5127279,,4D,גמישות,,,101.61,101.61,0.01,7/8/2018,,,לא מתחייבת לחלק תשלומים,0.54,,,,,8.3,0,1.9,0.05,0.35%,"איילון קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
דיאמונד 4D גמישה,פטורה,5123609,,4D,גמישות,,,122.54,122.54,-0.17,7/8/2018,,,לא מתחייבת לחלק תשלומים,2.06,16.13,18.61,2.36,,40.8,0,1.85,0.07,0.35%,"איילון קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
הראל 4D השקעות,פטורה,5120779,,4D,גמישות,,,624.3,624.3,-0.2,8/8/2018,,,לא מתחייבת לחלק תשלומים,1.32,-1.83,5.03,1.66,א'-ה',29.3,0,1.4,0.04,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
הראל 4D לשם,פטורה,5122114,,4D,גמישות,,,113.44,111.22,0.08,7/8/2018,,,לא מתחייבת לחלק תשלומים,0.64,3.29,4.95,0.63,,46.2,2,0.2,0.02,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
הראל 4D ספיר,פטורה,5103999,,4D,גמישות,,,327.49,321.07,-0.02,8/8/2018,,,לא מתחייבת לחלק תשלומים,0.55,-1.35,2.05,0.52,א'-ה',59.7,2,0.39,0.04,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
טנדם 4D גמישה,פטורה,5125513,,4D,גמישות,,,110.27,110.27,0.01,7/8/2018,,,לא מתחייבת לחלק תשלומים,3.46,10.81,,2.64,,2.5,0,1.5,0.07,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
ילין 4D גמישה,פטורה,5114087,,4D,גמישות,,,198.37,198.37,-0.34,8/8/2018,,,לא מתחייבת לחלק תשלומים,0.54,-1.01,2.14,1.25,א'-ה',468.8,0,1.94,0.05,0.35%,"ילין לפידות-ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
ילין לפידות 4D השקעות,פטורה,5124961,,4D,גמישות,,,102.27,102.27,-0.58,7/8/2018,,,לא מתחייבת לחלק תשלומים,0.12,0.16,2.24,1.43,,35.9,0,1.5,0.05,0.35%,"ילין לפידות-ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
יצירה 4D גמישה,פטורה,5124268,,4D,גמישות,,,117.01,117.01,0.1,7/8/2018,,,לא מתחייבת לחלק תשלומים,2.21,5.6,15.26,2.48,,20,0,1.45,0.07,0.35%,"איילון קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
כוון גמישה  4D קרן נאמנות,פטורה,5126420,,4D,גמישות,,,245.14,245.14,0.37,7/8/2018,,,לא מתחייבת לחלק תשלומים,2.1,7.05,16.42,2.74,ב'-ה',85.7,0,1.87,0.08,0.35%,"איילון קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
