תוצאות חיפוש קרנות נאמנות (סה"כ 1443 קרנות)
 16/08/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,99.56,99.56,-0.58,15/08/2018,,,לא מתחייבת לחלק תשלומים,-0.52,-1.16,2.75,1.42,ב'-ה',33.8,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,131.74,131.74,0.21,16/08/2018,,,לא מתחייבת לחלק תשלומים,0.73,-3.36,-8.13,1.19,א'-ה',36.4,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,102.41,102.40,-0.85,15/08/2018,,,לא מתחייבת לחלק תשלומים,-0.96,-5.22,-2.74,1.27,,12.3,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,109.92,109.92,-0.93,15/08/2018,,,לא מתחייבת לחלק תשלומים,-3.04,7.79,9.58,1.67,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,110.27,110.27,-0.37,15/08/2018,,,לא מתחייבת לחלק תשלומים,-0.89,2.52,7.97,0.74,,1564.1,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,95.84,95.84,-0.24,14/08/2018,,,לא מתחייבת לחלק תשלומים,0.58,-4.16,,1.74,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4492.27,4492.27,0.37,16/08/2018,,,לא מתחייבת לחלק תשלומים,1.68,1.52,4.74,1.20,א'-ה',236.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,655.63,655.63,-0.65,15/08/2018,,,לא מתחייבת לחלק תשלומים,1.09,-1.93,0.75,1.58,ב'-ה',221.5,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,109.85,109.85,-0.49,15/08/2018,,,לא מתחייבת לחלק תשלומים,0.66,5.01,,1.23,,94.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,4,4D,גמישות,,,96.14,96.14,0.03,15/08/2018,,,לא מתחייבת לחלק תשלומים,0.14,,,,ב'-ה',7.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
