תוצאות חיפוש קרנות נאמנות (סה"כ 1431 קרנות)
 19/06/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,100.85,100.85,0.56,18/06/2018,,,לא מתחייבת לחלק תשלומים,1.37,0.12,2.80,1.48,ב'-ה',36.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,132.64,132.63,-0.44,19/06/2018,,,לא מתחייבת לחלק תשלומים,-0.38,-2.71,-5.78,1.33,א'-ה',39.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,104.89,104.88,-0.28,18/06/2018,,,לא מתחייבת לחלק תשלומים,1.29,-2.92,-2.94,1.38,,20.7,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,,4D,גמישות,,,105.46,105.46,-0.26,18/06/2018,,,לא מתחייבת לחלק תשלומים,1.36,-4.09,-3.04,1.49,,26.2,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,111.81,111.81,-0.63,18/06/2018,,,לא מתחייבת לחלק תשלומים,0.19,3.95,9.20,0.75,,1301.6,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,98.50,98.50,-0.75,18/06/2018,,,לא מתחייבת לחלק תשלומים,1.33,-1.50,,,,1.4,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4407.35,4407.35,-0.49,19/06/2018,,,לא מתחייבת לחלק תשלומים,0.23,-0.40,0.86,1.17,א'-ה',256.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,659.48,659.48,-0.49,18/06/2018,,,לא מתחייבת לחלק תשלומים,0.55,-1.36,-1.66,1.62,ב'-ה',232.6,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,110.66,110.66,0.39,18/06/2018,,,לא מתחייבת לחלק תשלומים,2.76,5.78,,1.18,,68.2,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,94.95,94.95,-0.12,19/06/2018,,,לא מתחייבת לחלק תשלומים,0.37,-4.97,-4.13,1.58,א'-ה',5.1,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
