תוצאות חיפוש קרנות נאמנות (סה"כ 2054 קרנות)
 12/02/2019 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,91.71,91.71,0.11,11/02/2019,,,לא מתחייבת לחלק תשלומים,-0.50,6.00,-12.12,2.42,ב'-ה',16.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,104.74,104.74,-0.03,11/02/2019,,,לא מתחייבת לחלק תשלומים,-1.87,11.44,1.09,2.85,,44.6,0.000,1.260,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,108.54,108.54,-0.29,11/02/2019,,,לא מתחייבת לחלק תשלומים,0.12,8.87,-0.59,2.12,,1041.2,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,101.91,101.91,0.49,11/02/2019,,,לא מתחייבת לחלק תשלומים,0.58,5.12,,,,0.4,0.000,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4496.66,4496.66,0.43,12/02/2019,,,לא מתחייבת לחלק תשלומים,0.80,5.55,-0.23,1.84,א'-ה',215.9,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,648.52,648.52,0.21,11/02/2019,,,לא מתחייבת לחלק תשלומים,0.51,5.82,-5.37,1.93,ב'-ה',204.7,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,109.07,109.07,0.06,11/02/2019,,,לא מתחייבת לחלק תשלומים,-0.41,1.95,1.63,1.06,,186.5,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,101.94,101.94,-0.30,11/02/2019,,,לא מתחייבת לחלק תשלומים,1.50,9.86,,1.57,,8.3,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,117.65,117.65,0.03,11/02/2019,,,לא מתחייבת לחלק תשלומים,0.30,6.25,6.71,2.22,,131.1,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,629.01,629.01,-0.35,12/02/2019,,,לא מתחייבת לחלק תשלומים,-0.91,1.59,-3.77,1.47,א'-ה',25.0,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,108.75,106.62,0.00,11/02/2019,,,לא מתחייבת לחלק תשלומים,-0.01,1.70,-2.27,1.00,,45.1,2.000,0.200,0.020,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,325.26,318.88,-0.06,12/02/2019,,,לא מתחייבת לחלק תשלומים,-0.28,0.71,-2.64,0.67,א'-ה',51.9,2.000,0.390,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקעות גביש,פטורה,05128582,,4D,גמישות,,,99.86,99.86,-0.45,11/02/2019,,,לא מתחייבת לחלק תשלומים,-0.55,1.00,,,,2.1,0.000,1.550,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,97.62,97.62,0.09,11/02/2019,,,לא מתחייבת לחלק תשלומים,-0.35,11.59,-4.25,3.66,,3.4,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,194.49,194.49,0.06,12/02/2019,,,לא מתחייבת לחלק תשלומים,-0.09,4.91,-4.51,1.60,א'-ה',343.4,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,,4D,גמישות,,,96.41,96.41,0.31,11/02/2019,,,לא מתחייבת לחלק תשלומים,0.18,5.46,-6.33,1.98,,21.5,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,111.84,111.84,0.50,11/02/2019,,,לא מתחייבת לחלק תשלומים,0.57,7.89,-3.94,2.30,,12.6,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,,4D,גמישות,,,231.63,231.63,0.96,11/02/2019,,,לא מתחייבת לחלק תשלומים,0.63,10.54,-3.49,3.38,ב'-ה',65.5,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,,4D,גמישות,,,108.34,108.34,0.34,11/02/2019,,,לא מתחייבת לחלק תשלומים,0.32,5.10,-2.52,1.66,,24.4,0.000,1.590,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,,4D,גמישות,,,126.89,126.89,0.25,11/02/2019,,,לא מתחייבת לחלק תשלומים,-1.05,8.67,-0.11,3.23,ב'-ה',185.0,0.000,1.400,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,,4D,גמישות,,,101.01,101.01,0.12,11/02/2019,,,לא מתחייבת לחלק תשלומים,-0.50,6.38,,1.63,,16.0,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,,4D,גמישות,,,99.36,99.36,0.00,11/02/2019,,,לא מתחייבת לחלק תשלומים,-0.16,0.72,,0.67,,32.8,0.000,1.500,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,226.46,226.46,0.12,12/02/2019,,,לא מתחייבת לחלק תשלומים,-0.20,3.47,-1.70,1.13,א'-ה',1176.6,0.000,1.880,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,321.92,321.92,0.32,12/02/2019,,,לא מתחייבת לחלק תשלומים,0.17,4.87,-1.86,1.61,א'-ה',165.3,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
