תוצאות חיפוש קרנות נאמנות (סה"כ 1431 קרנות)
 21/06/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,101.09,101.09,0.28,20/06/2018,,,לא מתחייבת לחלק תשלומים,1.61,0.36,3.05,1.48,ב'-ה',36.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,132.66,132.66,-0.27,21/06/2018,,,לא מתחייבת לחלק תשלומים,-0.36,-2.68,-5.76,1.33,א'-ה',39.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,104.69,104.67,0.40,20/06/2018,,,לא מתחייבת לחלק תשלומים,1.09,-3.12,-3.14,1.38,,20.7,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,4,4D,גמישות,,,105.44,105.44,0.13,20/06/2018,,,לא מתחייבת לחלק תשלומים,1.34,-4.11,-3.06,1.49,,26.2,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,111.70,111.70,0.16,20/06/2018,,,לא מתחייבת לחלק תשלומים,0.09,3.85,9.09,0.75,,1301.6,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,98.71,98.71,0.53,20/06/2018,,,לא מתחייבת לחלק תשלומים,1.54,-1.29,,,,1.4,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4395.62,4395.62,-0.49,21/06/2018,,,לא מתחייבת לחלק תשלומים,-0.04,-0.66,0.59,1.17,א'-ה',256.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,657.51,657.51,0.32,20/06/2018,,,לא מתחייבת לחלק תשלומים,0.25,-1.65,-1.96,1.62,ב'-ה',232.6,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,110.60,110.60,0.09,20/06/2018,,,לא מתחייבת לחלק תשלומים,2.70,5.73,,1.18,,68.2,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,94.85,94.85,-0.21,21/06/2018,,,לא מתחייבת לחלק תשלומים,0.26,-5.07,-4.23,1.58,א'-ה',5.1,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
