תוצאות חיפוש קרנות נאמנות (סה"כ 1488 קרנות)
 14/10/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
PTF ממשלתי כללי,פטורה,05112271,,0A,,,,138.31,138.31,-0.08,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.42,-0.94,0.06,0.25,א'-ה',202.8,0.000,0.200,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
תכלית TTF גליל 2-5,פטורה,05117379,,00,,,,102.78,102.78,-0.04,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.14,0.75,2.20,0.17,א'-ה',37.4,0.000,0.000,0.030,לא נגבית עמלת הפצה,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
תכלית TTF גליל 5-10,פטורה,05119383,,00,,,,105.29,105.29,-0.09,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.46,-0.31,1.79,0.29,א'-ה',58.4,0.000,0.000,0.030,לא נגבית עמלת הפצה,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
תכלית TTF שחר 2-5,פטורה,05108857,,00,,,,65.52,65.52,-0.06,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.08,-1.10,-0.77,0.18,א'-ה',138.6,0.000,0.150,0.030,לא נגבית עמלת הפצה,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
תכלית TTF שחר 5+,פטורה,05119375,,00,,,,119.61,119.61,-0.10,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.87,-2.78,-1.21,0.51,א'-ה',100.9,0.000,0.150,0.030,לא נגבית עמלת הפצה,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
PTF שחר 2-5,פטורה,05111422,,00,,,‏שקליות ריבית קבועה ממשלתיות 2-5 שנים,143.74,143.74,-0.06,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.08,-1.07,-0.78,0.18,א'-ה',93.9,0.000,0.150,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF שחר 5+,פטורה,05111489,,00,,,שקליות ריבית קבועה ממשלתיות 5+ שנים,154.50,154.50,-0.10,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.87,-2.85,-1.35,0.51,א'-ה',56.1,0.000,0.250,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF גליל 2-5,פטורה,05111240,,00,,,צמודות מדד - ממשלתיות 2-5 שנים,129.48,129.48,-0.05,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.15,0.73,2.15,0.17,א'-ה',104.1,0.000,0.000,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF גליל 5-10,פטורה,05117833,,00,,,צמודות מדד - ממשלתיות 5-10 שנים,113.72,113.72,-0.09,14/10/2018,,,לא מתחייבת לחלק תשלומים,-0.47,-0.33,1.74,0.29,א'-ה',27.0,0.000,0.000,0.020,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,99.39,99.39,-1.05,11/10/2018,,,לא מתחייבת לחלק תשלומים,-2.97,-1.33,0.95,1.18,ב'-ה',31.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
