תוצאות חיפוש קרנות נאמנות (סה"כ 1620 קרנות)
 06/11/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,97.19,97.19,-0.78,05/11/2018,,,לא מתחייבת לחלק תשלומים,-0.88,-3.51,-1.35,1.42,ב'-ה',31.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,134.25,134.25,0.07,06/11/2018,,,לא מתחייבת לחלק תשלומים,0.38,-1.52,0.78,0.95,א'-ה',37.1,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,102.59,102.58,-0.28,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.78,-5.05,-3.20,1.59,,9.9,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,111.69,111.69,-0.15,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.92,9.52,11.11,1.38,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,109.81,109.81,-0.72,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.10,2.09,4.97,1.03,,1595.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,92.12,92.12,-0.23,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.50,-7.88,,2.07,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,99.98,99.98,-0.01,05/11/2018,,,לא מתחייבת לחלק תשלומים,-0.01,,,,,,,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4548.83,4548.83,0.22,06/11/2018,,,לא מתחייבת לחלק תשלומים,0.88,2.80,3.93,1.29,א'-ה',245.9,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,660.06,660.06,-0.81,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.31,-1.27,-1.32,1.40,ב'-ה',227.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,110.96,110.96,-0.08,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.40,6.07,7.31,0.88,,111.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,91.97,91.97,-0.98,05/11/2018,,,לא מתחייבת לחלק תשלומים,-0.14,,,,ב'-ה',7.0,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,102.90,102.90,-0.28,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.07,,,,,10.7,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,123.13,123.13,0.07,05/11/2018,,,לא מתחייבת לחלק תשלומים,1.36,16.69,24.73,1.66,,93.7,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,639.34,639.34,0.31,06/11/2018,,,לא מתחייבת לחלק תשלומים,0.64,0.53,5.35,1.32,א'-ה',28.1,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,113.35,111.13,0.04,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.81,3.20,4.66,0.64,,47.6,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,331.38,324.88,0.16,06/11/2018,,,לא מתחייבת לחלק תשלומים,0.33,-0.18,1.00,0.45,א'-ה',53.9,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,98.65,98.65,-2.47,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.31,-0.86,,2.95,,5.0,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,197.52,197.52,0.36,06/11/2018,,,לא מתחייבת לחלק תשלומים,1.02,-1.43,-0.90,1.18,א'-ה',428.8,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
