תוצאות חיפוש קרנות נאמנות (סה"כ 1525 קרנות)
 23/10/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,100.41,100.41,-0.08,22/10/2018,,,לא מתחייבת לחלק תשלומים,-1.97,-0.32,1.99,1.18,ב'-ה',31.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,133.16,133.16,-1.03,23/10/2018,,,לא מתחייבת לחלק תשלומים,-2.12,-2.32,0.32,1.00,א'-ה',37.1,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,102.35,102.34,-0.69,22/10/2018,,,לא מתחייבת לחלק תשלומים,-3.34,-5.28,-2.51,1.31,,9.9,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,113.69,113.69,-0.48,22/10/2018,,,לא מתחייבת לחלק תשלומים,-0.06,11.48,13.91,1.34,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,110.19,110.19,-0.55,22/10/2018,,,לא מתחייבת לחלק תשלומים,-2.73,2.45,5.71,0.77,,1595.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,90.30,90.30,-1.02,22/10/2018,,,לא מתחייבת לחלק תשלומים,-7.99,-9.70,,1.48,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,99.99,99.99,-0.01,22/10/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4495.40,4495.40,-1.49,23/10/2018,,,לא מתחייבת לחלק תשלומים,-3.75,1.59,3.52,1.08,א'-ה',245.9,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,663.41,663.41,-0.73,22/10/2018,,,לא מתחייבת לחלק תשלומים,-3.03,-0.77,0.35,1.23,ב'-ה',227.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,110.33,110.33,-0.11,22/10/2018,,,לא מתחייבת לחלק תשלומים,-1.31,5.47,9.88,0.78,,111.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
