תוצאות חיפוש קרנות נאמנות (סה"כ 2060 קרנות)
 27/12/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,85.35,85.35,3.02,26/12/2018,,,לא מתחייבת לחלק תשלומים,-10.75,-15.27,-15.07,1.61,ב'-ה',25.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,93.34,93.34,3.98,26/12/2018,,,לא מתחייבת לחלק תשלומים,-13.63,-8.47,-7.21,1.22,,62.4,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,100.54,100.54,-0.81,20/12/2018,,,לא מתחייבת לחלק תשלומים,-6.58,-6.53,-4.87,1.30,,1388.4,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,4,4D,גמישות,,,94.18,94.18,1.94,26/12/2018,,,לא מתחייבת לחלק תשלומים,-5.58,,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4198.10,4198.10,-0.12,27/12/2018,,,לא מתחייבת לחלק תשלומים,-7.85,-5.12,-4.45,1.44,א'-ה',235.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,605.14,605.14,2.19,26/12/2018,,,לא מתחייבת לחלק תשלומים,-8.25,-9.49,-9.48,1.52,ב'-ה',214.9,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,105.88,105.88,1.90,26/12/2018,,,לא מתחייבת לחלק תשלומים,-4.20,1.21,2.04,0.98,,154.5,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,6,4D,גמישות,,,91.30,91.30,-0.01,24/12/2018,,,לא מתחייבת לחלק תשלומים,0.03,,,,ב'-ה',0.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,4,4D,גמישות,,,91.11,91.11,1.53,26/12/2018,,,לא מתחייבת לחלק תשלומים,-8.64,,,0.88,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,4,4D,גמישות,,,110.54,110.54,4.14,26/12/2018,,,לא מתחייבת לחלק תשלומים,-10.33,4.76,9.67,1.75,,141.9,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
