תוצאות חיפוש קרנות נאמנות (סה"כ 2056 קרנות)
 24/01/2019 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,90.29,90.29,-0.10,23/01/2019,,,לא מתחייבת לחלק תשלומים,4.36,4.36,-10.36,2.05,ב'-ה',18.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,105.45,105.45,0.14,23/01/2019,,,לא מתחייבת לחלק תשלומים,12.19,12.19,3.40,2.16,,37.8,0.000,1.260,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,106.30,106.30,-0.07,23/01/2019,,,לא מתחייבת לחלק תשלומים,6.62,6.62,-1.17,1.65,,1025.2,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,4,4D,גמישות,,,99.55,99.55,-0.05,23/01/2019,,,לא מתחייבת לחלק תשלומים,2.68,2.68,,,,0.4,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4350.63,4350.63,0.28,24/01/2019,,,לא מתחייבת לחלק תשלומים,2.12,2.12,-1.68,1.73,א'-ה',208.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,626.83,626.83,0.11,23/01/2019,,,לא מתחייבת לחלק תשלומים,2.28,2.28,-6.24,1.80,ב'-ה',196.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,108.29,108.29,0.11,23/01/2019,,,לא מתחייבת לחלק תשלומים,1.22,1.22,3.52,1.05,,173.0,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,4,4D,גמישות,,,97.43,97.43,0.10,23/01/2019,,,לא מתחייבת לחלק תשלומים,5.00,5.00,,1.30,,8.6,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,4,4D,גמישות,,,115.81,115.81,-0.23,23/01/2019,,,לא מתחייבת לחלק תשלומים,4.59,4.59,9.75,2.00,,118.0,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,623.45,623.45,0.49,24/01/2019,,,לא מתחייבת לחלק תשלומים,0.69,0.69,-1.97,1.44,א'-ה',24.9,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D לשם,פטורה,05122114,4,4D,גמישות,,,108.00,105.88,-0.08,23/01/2019,,,לא מתחייבת לחלק תשלומים,0.99,0.99,-1.67,0.98,,44.4,2.000,0.200,0.020,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,324.00,317.65,0.24,24/01/2019,,,לא מתחייבת לחלק תשלומים,0.32,0.32,-2.41,0.66,א'-ה',51.5,2.000,0.390,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקעות גביש,פטורה,05128582,4,4D,גמישות,,,99.21,99.21,-0.15,23/01/2019,,,לא מתחייבת לחלק תשלומים,0.34,0.34,,,,1.4,0.000,1.550,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טנדם 4D גמישה,פטורה,05125513,4,4D,גמישות,,,96.35,96.35,0.18,23/01/2019,,,לא מתחייבת לחלק תשלומים,10.14,10.14,-3.18,3.42,,2.1,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,190.07,190.07,0.61,24/01/2019,,,לא מתחייבת לחלק תשלומים,2.52,2.52,-5.15,1.47,א'-ה',335.9,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,4,4D,גמישות,,,93.17,93.17,0.33,23/01/2019,,,לא מתחייבת לחלק תשלומים,1.91,1.91,-8.76,1.84,,20.7,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,4,4D,גמישות,,,107.93,107.93,0.14,23/01/2019,,,לא מתחייבת לחלק תשלומים,4.12,4.12,-2.60,2.09,,13.2,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,4,4D,גמישות,,,221.42,221.42,0.05,23/01/2019,,,לא מתחייבת לחלק תשלומים,5.67,5.67,-3.31,3.04,ב'-ה',61.0,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,4,4D,גמישות,,,105.30,105.30,0.22,23/01/2019,,,לא מתחייבת לחלק תשלומים,2.15,2.15,-3.33,1.58,,24.7,0.000,1.590,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,4,4D,גמישות,,,127.14,127.14,0.75,23/01/2019,,,לא מתחייבת לחלק תשלומים,8.88,8.88,2.93,2.76,ב'-ה',173.2,0.000,1.400,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,4,4D,גמישות,,,100.11,100.11,-0.23,23/01/2019,,,לא מתחייבת לחלק תשלומים,5.43,5.43,,1.24,,14.7,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,4,4D,גמישות,,,99.18,99.18,-0.10,23/01/2019,,,לא מתחייבת לחלק תשלומים,0.54,0.54,,0.64,,32.8,0.000,1.500,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,223.80,223.80,0.43,24/01/2019,,,לא מתחייבת לחלק תשלומים,2.26,2.26,-1.65,1.05,א'-ה',1149.0,0.000,1.880,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,317.02,317.01,0.29,24/01/2019,,,לא מתחייבת לחלק תשלומים,3.27,3.27,-0.56,1.54,א'-ה',159.1,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,4,4D,גמישות,,,504.79,504.67,-0.02,23/01/2019,,,לא מתחייבת לחלק תשלומים,3.17,3.17,-1.94,2.06,ב'-ה',14.2,0.000,1.500,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
