תוצאות חיפוש קרנות נאמנות (סה"כ 2062 קרנות)
 31/12/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,2,4D,גמישות,,,85.59,85.59,0.28,27/12/2018,,,לא מתחייבת לחלק תשלומים,-10.50,-15.03,-14.83,1.61,ב'-ה',25.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,2,4D,גמישות,,,92.61,92.61,-0.78,27/12/2018,,,לא מתחייבת לחלק תשלומים,-14.31,-9.19,-7.93,1.22,,62.4,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,2,4D,גמישות,,,99.70,99.70,-0.84,27/12/2018,,,לא מתחייבת לחלק תשלומים,-7.36,-7.31,-5.67,1.30,,1388.4,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,2,4D,גמישות,,,95.14,95.14,1.02,27/12/2018,,,לא מתחייבת לחלק תשלומים,-4.62,,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4260.29,4260.29,0.41,31/12/2018,,,לא מתחייבת לחלק תשלומים,-6.48,-3.72,-3.04,1.44,א'-ה',235.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,2,4D,גמישות,,,604.24,604.24,-0.15,27/12/2018,,,לא מתחייבת לחלק תשלומים,-8.39,-9.62,-9.61,1.52,ב'-ה',214.9,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,2,4D,גמישות,,,106.17,106.17,0.27,27/12/2018,,,לא מתחייבת לחלק תשלומים,-3.94,1.49,2.32,0.98,,154.5,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,6,4D,גמישות,,,91.30,91.30,-0.01,24/12/2018,,,לא מתחייבת לחלק תשלומים,0.03,,,,ב'-ה',0.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,2,4D,גמישות,,,91.41,91.41,0.33,27/12/2018,,,לא מתחייבת לחלק תשלומים,-8.34,,,0.88,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,2,4D,גמישות,,,110.08,110.08,-0.42,27/12/2018,,,לא מתחייבת לחלק תשלומים,-10.70,4.32,9.22,1.75,,141.9,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,619.16,619.16,0.45,31/12/2018,,,לא מתחייבת לחלק תשלומים,-2.80,-2.64,0.62,1.34,א'-ה',26.3,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D לשם,פטורה,05122114,2,4D,גמישות,,,106.51,104.42,0.18,27/12/2018,,,לא מתחייבת לחלק תשלומים,-5.62,-3.03,-1.93,0.72,,47.0,2.000,0.200,0.020,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,322.97,316.64,0.08,31/12/2018,,,לא מתחייבת לחלק תשלומים,-2.54,-2.72,-1.62,0.51,א'-ה',53.2,2.000,0.390,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקעות גביש,פטורה,05128582,,4D,גמישות,,,98.63,98.63,0.09,27/12/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,1.550,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טנדם 4D גמישה,פטורה,05125513,2,4D,גמישות,,,87.48,87.48,-0.89,27/12/2018,,,לא מתחייבת לחלק תשלומים,-10.79,-12.09,,3.39,,3.3,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,185.39,185.39,0.30,31/12/2018,,,לא מתחייבת לחלק תשלומים,-5.77,-7.49,-7.35,1.30,א'-ה',382.7,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,2,4D,גמישות,,,90.01,90.01,-0.42,27/12/2018,,,לא מתחייבת לחלק תשלומים,-9.29,-11.85,-11.62,1.59,,26.9,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,2,4D,גמישות,,,102.95,102.95,0.63,27/12/2018,,,לא מתחייבת לחלק תשלומים,-7.39,-7.09,-6.08,1.95,,18.9,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,2,4D,גמישות,,,207.83,207.83,0.33,27/12/2018,,,לא מתחייבת לחלק תשלומים,-9.70,-9.24,-9.29,2.94,ב'-ה',80.7,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,2,4D,גמישות,,,101.62,101.61,0.22,27/12/2018,,,לא מתחייבת לחלק תשלומים,-6.06,-6.72,-6.83,1.40,,28.8,0.000,1.590,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,2,4D,גמישות,,,117.51,117.51,0.45,27/12/2018,,,לא מתחייבת לחלק תשלומים,-11.90,-4.87,-1.81,2.20,ב'-ה',211.8,0.000,1.400,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,2,4D,גמישות,,,94.83,94.83,2.74,27/12/2018,,,לא מתחייבת לחלק תשלומים,-7.01,,,0.83,,15.8,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,2,4D,גמישות,,,98.36,98.36,0.03,27/12/2018,,,לא מתחייבת לחלק תשלומים,-3.09,,,,,33.9,0.000,1.500,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,218.86,218.86,0.55,31/12/2018,,,לא מתחייבת לחלק תשלומים,-4.44,-3.82,-3.27,0.85,א'-ה',1280.4,0.000,1.880,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,306.99,306.98,0.14,31/12/2018,,,לא מתחייבת לחלק תשלומים,-6.88,-3.70,-1.56,1.27,א'-ה',185.6,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,2,4D,גמישות,,,484.33,484.21,-0.18,27/12/2018,,,לא מתחייבת לחלק תשלומים,-9.36,-5.92,-4.84,1.68,ב'-ה',15.7,0.000,1.500,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב פוקוס 4D גמישה,פטורה,05126081,2,4D,גמישות,,,99.15,99.15,-0.63,27/12/2018,,,לא מתחייבת לחלק תשלומים,-6.65,-1.17,,1.49,,10.4,0.000,1.900,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
סיגמא תיק השקעות גמיש,פטורה,05125679,,4D,גמישות,,,90.52,90.52,,27/12/2018,,,לא מתחייבת לחלק תשלומים,,,,,ב'-ה',3.9,0.000,0.690,0.040,0.35%,סיגמא קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
פורטה 4D השקעות,פטורה,05124995,2,4D,גמישות,,,97.87,97.87,-0.31,27/12/2018,,,לא מתחייבת לחלק תשלומים,-8.22,-6.45,-6.02,1.05,,139.5,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות 4D תיק השקעות גמיש,פטורה,05118146,2,4D,גמישות,,,143.84,143.84,0.02,27/12/2018,,,לא מתחייבת לחלק תשלומים,-3.43,-0.13,0.77,0.78,ב'-ה',626.9,0.000,1.770,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות LONG RUN 4D,פטורה,05119748,2,4D,גמישות,,,93.65,93.65,-0.04,27/12/2018,,,לא מתחייבת לחלק תשלומים,-7.57,-7.28,-6.52,0.99,ב'-ה',5.8,0.000,0.890,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות ספיר 4D גמישה,פטורה,05122064,2,4D,גמישות,,,107.11,105.01,0.19,27/12/2018,,,לא מתחייבת לחלק תשלומים,-6.31,-2.25,-1.57,0.78,,56.2,2.000,0.200,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קוואנטום 4D גמישה,פטורה,05127014,2,4D,גמישות,,,83.97,83.94,-1.82,27/12/2018,,,לא מתחייבת לחלק תשלומים,-8.83,-16.06,,1.64,,2.8,0.000,1.880,0.070,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
קסם אק 4D תיק השקעות גמיש,פטורה,05103643,2,4D,גמישות,,,53.12,53.12,-0.60,27/12/2018,,,לא מתחייבת לחלק תשלומים,-7.42,13.58,17.37,2.71,ב'-ה',909.8,0.000,2.000,0.030,0.35%,קסם קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
תמיר פישמן גמישה,פטורה,05128426,2,4D,גמישות,,,99.99,99.99,-0.01,27/12/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,1.690,0.040,0.35%,תמיר פישמן קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
