תוצאות חיפוש קרנות נאמנות (סה"כ 1446 קרנות)
 03/10/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
PTF ממשלתי כללי,פטורה,05112271,,0A,,,,138.85,138.85,-0.04,03/10/2018,,,לא מתחייבת לחלק תשלומים,-0.03,-0.55,0.45,0.25,א'-ה',205.1,0.000,0.200,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF גליל 5-10,פטורה,05117833,,00,,,צמודי מדד לטווח ארוך (מעל ארבע שנים),114.25,114.25,-0.03,03/10/2018,,,לא מתחייבת לחלק תשלומים,-0.01,0.13,2.21,0.29,א'-ה',26.9,0.000,0.000,0.020,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF גליל 2-5,פטורה,05111240,,00,,,אחר,129.73,129.73,-0.04,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.05,0.93,2.35,0.17,א'-ה',102.2,0.000,0.000,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF שחר 2-5,פטורה,05111422,,00,,,שקליות לטווח ארוך (מעל שנתיים),143.85,143.85,0.01,03/10/2018,,,לא מתחייבת לחלק תשלומים,-0.01,-1.00,-0.70,0.18,א'-ה',94.5,0.000,0.150,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF שחר 5+,פטורה,05111489,,00,,,שקליות לטווח ארוך (מעל שנתיים),155.61,155.61,-0.16,03/10/2018,,,לא מתחייבת לחלק תשלומים,-0.16,-2.15,-0.64,0.51,א'-ה',56.9,0.000,0.250,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,103.30,103.30,0.85,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.85,2.55,4.93,1.18,ב'-ה',32.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,136.86,136.86,0.26,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.60,0.40,3.10,1.00,א'-ה',37.0,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,106.83,106.82,0.89,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.89,-1.13,1.76,1.31,,10.8,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,115.54,115.54,1.56,02/10/2018,,,לא מתחייבת לחלק תשלומים,1.56,13.30,15.76,1.34,,66.2,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,113.23,113.23,-0.04,02/10/2018,,,לא מתחייבת לחלק תשלומים,-0.04,5.27,8.62,0.77,,1580.7,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,97.70,97.70,-0.45,02/10/2018,,,לא מתחייבת לחלק תשלומים,-0.45,-2.30,,1.48,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4716.40,4716.40,0.56,03/10/2018,,,לא מתחייבת לחלק תשלומים,0.99,6.59,8.61,1.08,א'-ה',245.2,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,686.82,686.82,0.40,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.40,2.73,3.89,1.23,ב'-ה',230.2,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,112.48,112.48,0.61,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.61,7.52,12.02,0.78,,104.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,97.27,97.27,0.02,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.02,,,,ב'-ה',7.1,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,104.89,104.89,0.36,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.36,,,,,9.6,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,123.04,123.04,0.10,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.10,16.60,23.80,1.58,,84.4,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
