"תוצאות חיפוש קרנות נאמנות (סה""כ 1437 קרנות)",,,,,,,,,,,,,,,,,,,,,,,,,,
 31/07/2018 ***,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מעמד מס*,"מס' ני""ע",קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,"קרן קפ""מ אומדן תשואה שנתית","קרן קפ""מ תאריך נכונות****",מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,"שווי נכסים (מליוני ש""ח)",שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
הראל 4D לשם,פטורה,5122114,,4D,גמישות,,,112.69,110.48,0.08,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.95,2.6,6.07,0.64,,46.2,2,0.2,0.02,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
הראל 4D ספיר,פטורה,5103999,,4D,גמישות,,,325.71,319.32,-0.02,31/07/2018,,,לא מתחייבת לחלק תשלומים,-0.05,-1.89,1.49,0.57,א'-ה',59.7,2,0.39,0.04,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
טנדם 4D גמישה,פטורה,5125513,,4D,גמישות,,,106.51,106.51,-3.52,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.02,7.03,,2.56,,2.5,0,1.5,0.07,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
ילין 4D גמישה,פטורה,5114087,,4D,גמישות,,,197.31,197.31,-0.21,31/07/2018,,,לא מתחייבת לחלק תשלומים,0.46,-1.54,2.2,1.29,א'-ה',468.8,0,1.94,0.05,0.35%,"ילין לפידות-ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
ילין לפידות 4D השקעות,פטורה,5124961,,4D,גמישות,,,102.18,102.18,-0.55,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.59,0.07,,1.47,,35.9,0,1.5,0.05,0.35%,"ילין לפידות-ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
יצירה 4D גמישה,פטורה,5124268,,4D,גמישות,,,114.48,114.48,-0.99,30/07/2018,,,לא מתחייבת לחלק תשלומים,2.85,3.31,14.55,2.44,,20,0,1.45,0.07,0.35%,"איילון קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
כוון גמישה  4D קרן נאמנות,פטורה,5126420,,4D,גמישות,,,239.48,239.48,-2.03,30/07/2018,,,לא מתחייבת לחלק תשלומים,1.42,4.58,20.71,2.74,ב'-ה',85.7,0,1.87,0.08,0.35%,"איילון קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
מגדל 4D גמישה,פטורה,5123799,,4D,גמישות,,,107.04,107.03,-0.33,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.41,-1.74,1.15,1.15,,48.1,0,1.29,0.05,0.35%,"מגדל קרנות נאמנות בע""מ","אלמגור - בריטמן נאמנויות בע""מ"
מודלים 4D גמישה,פטורה,5115829,,4D,גמישות,,,134.32,134.32,0.37,30/07/2018,,,לא מתחייבת לחלק תשלומים,2.96,8.74,22.79,1.78,ב'-ה',107,0,0.6,0.05,0.35%,"מודלים קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
מוניטר 4D גמישה,פטורה,5127212,,4D,גמישות,,,102.04,102.04,0.7,30/07/2018,,,לא מתחייבת לחלק תשלומים,1.18,,,,,11,0,1.2,0.06,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
מור 4D השקעות,פטורה,5127725,,4D,גמישות,,,100.07,100.07,-0.04,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.3,,,,,6.9,0,1.5,0.03,0.35%,"מור ניהול קרנות נאמנות (2013) בע""מ","יובנק חברה לנאמנות בע""מ"
מור גמישה 4D,פטורה,5109731,,4D,גמישות,,,224.41,224.41,0.05,31/07/2018,,,לא מתחייבת לחלק תשלומים,0.51,-1.38,2.53,0.98,א'-ה',1498.1,0,1.88,0.04,0.35%,"מור ניהול קרנות נאמנות (2013) בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
מיטב 4D גמישה,פטורה,5104765,,4D,גמישות,,,322.86,322.85,0.11,31/07/2018,,,לא מתחייבת לחלק תשלומים,1.71,1.28,7.4,1.08,א'-ה',150.8,0,1.47,0.04,0.35%,"מיטב דש קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
מיטב סקיי 4D השקעות,פטורה,5520044,,4D,גמישות,,,519.67,519.54,-0.12,30/07/2018,,,לא מתחייבת לחלק תשלומים,1.53,0.94,,1.49,ב'-ה',13.7,0,0.82,0.05,0.35%,"מיטב דש קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
מיטב פוקוס 4D גמישה,פטורה,5126081,,4D,גמישות,,,102.3,102.3,-0.55,30/07/2018,,,לא מתחייבת לחלק תשלומים,1.32,1.97,,1.3,,6.4,0,1.9,0.05,0.35%,"מיטב דש קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
פורטה 4D השקעות,פטורה,5124995,,4D,גמישות,,,104.66,104.66,-0.14,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.35,0.04,,0.88,,125.9,0,1.5,0.06,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
פסגות 4D תיק השקעות גמיש,פטורה,5118146,,4D,גמישות,,,144.73,144.73,-0.06,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.58,0.49,4.38,0.87,ב'-ה',640.8,0,1.77,0.04,0.35%,"פסגות קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
פסגות LONG RUN 4D,פטורה,5119748,,4D,גמישות,,,97.88,97.88,0.05,30/07/2018,,,לא מתחייבת לחלק תשלומים,-1.34,-3.09,6.63,1.48,ב'-ה',8.1,0,0.89,0.04,0.35%,"פסגות קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
פסגות ספיר 4D גמישה,פטורה,5122064,,4D,גמישות,,,110.46,108.29,0.2,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.85,0.8,1.91,0.8,,54.9,2,0.2,0.04,0.35%,"פסגות קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
