תוצאות חיפוש קרנות נאמנות (סה"כ 1446 קרנות)
 02/10/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
0A PTF אג"ח ממשלתי,פטורה,05112271,,0A,,,,138.90,138.90,0.01,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.01,-0.52,0.48,0.25,א'-ה',205.1,0.000,0.200,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF 00 מדד 5-10 שנים ממשל,פטורה,05117833,,00,,,צמודי מדד לטווח ארוך (מעל ארבע שנים),114.29,114.29,0.03,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.03,0.17,2.25,0.29,א'-ה',26.9,0.000,0.000,0.020,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF 00 מדדיות 2-5 ממשלתי,פטורה,05111240,,00,,,אחר,129.78,129.78,0.08,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.08,0.96,2.39,0.17,א'-ה',102.2,0.000,0.000,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF 00 ממשל קבוע+5שנ,פטורה,05111489,,00,,,שקליות לטווח ארוך (מעל שנתיים),155.86,155.86,0.00,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.00,-1.99,-0.49,0.51,א'-ה',56.9,0.000,0.250,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF 00 שקלי ר.קבוע 2-5 שנ,פטורה,05111422,,00,,,שקליות לטווח ארוך (מעל שנתיים),143.84,143.84,-0.01,02/10/2018,,,לא מתחייבת לחלק תשלומים,-0.01,-1.00,-0.71,0.18,א'-ה',94.5,0.000,0.150,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,102.43,102.43,0.24,27/09/2018,,,לא מתחייבת לחלק תשלומים,0.76,1.69,6.18,1.18,ב'-ה',32.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,136.51,136.51,0.35,02/10/2018,,,לא מתחייבת לחלק תשלומים,0.35,0.14,2.84,1.00,א'-ה',37.0,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,105.89,105.88,-0.12,27/09/2018,,,לא מתחייבת לחלק תשלומים,-1.39,-2.00,3.23,1.31,,10.8,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,113.76,113.76,0.11,27/09/2018,,,לא מתחייבת לחלק תשלומים,0.13,11.55,14.77,1.34,,66.2,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,2,4D,גמישות,,,113.28,113.28,0.05,27/09/2018,,,לא מתחייבת לחלק תשלומים,0.35,5.32,8.98,0.77,,1580.7,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
