תוצאות חיפוש קרנות נאמנות (סה"כ 1833 קרנות)
 26/11/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,93.56,93.56,0.59,21/11/2018,,,לא מתחייבת לחלק תשלומים,-4.58,-7.12,-5.03,1.42,ב'-ה',29.0,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,133.24,133.24,0.10,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.37,-2.26,0.02,0.95,א'-ה',35.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,97.14,97.13,-0.11,21/11/2018,,,לא מתחייבת לחלק תשלומים,-4.58,-10.10,-8.34,1.59,,8.1,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,108.30,108.30,0.89,21/11/2018,,,לא מתחייבת לחלק תשלומים,-2.14,6.20,7.74,1.38,,67.5,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,106.76,106.76,0.88,21/11/2018,,,לא מתחייבת לחלק תשלומים,-2.68,-0.74,2.06,1.03,,1510.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,99.93,99.93,-0.02,22/11/2018,,,לא מתחייבת לחלק תשלומים,-0.06,,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4522.41,4522.41,0.88,26/11/2018,,,לא מתחייבת לחלק תשלומים,0.29,2.20,3.33,1.29,א'-ה',234.6,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,653.57,653.57,0.19,21/11/2018,,,לא מתחייבת לחלק תשלומים,-0.67,-2.24,-2.29,1.40,ב'-ה',217.7,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,109.59,109.59,0.17,21/11/2018,,,לא מתחייבת לחלק תשלומים,-0.84,4.76,5.99,0.88,,121.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,6,4D,גמישות,,,91.39,91.39,0.03,22/11/2018,,,לא מתחייבת לחלק תשלומים,-0.77,,,,ב'-ה',6.5,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
