תוצאות חיפוש קרנות נאמנות (סה"כ 1621 קרנות)
 11/11/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,97.91,97.91,-1.27,08/11/2018,,,לא מתחייבת לחלק תשלומים,-0.14,-2.80,-0.62,1.42,ב'-ה',29.0,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.79,135.79,0.02,11/11/2018,,,לא מתחייבת לחלק תשלומים,1.53,-0.39,1.94,0.95,א'-ה',35.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,104.50,104.49,-0.23,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.65,-3.29,-1.40,1.59,,8.1,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,111.03,111.03,-1.18,08/11/2018,,,לא מתחייבת לחלק תשלומים,0.33,8.87,10.46,1.38,,67.5,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,111.52,111.52,-0.15,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.66,3.68,6.61,1.03,,1510.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,94.17,94.17,-0.55,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.74,-5.83,,2.07,,0.5,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,99.98,99.98,0.00,08/11/2018,,,לא מתחייבת לחלק תשלומים,-0.01,,,,,0.0,,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4622.26,4622.26,-0.17,11/11/2018,,,לא מתחייבת לחלק תשלומים,2.51,4.46,5.61,1.29,א'-ה',234.6,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,672.67,672.67,0.31,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.23,0.61,0.56,1.40,ב'-ה',217.7,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,111.64,111.64,-0.07,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.01,6.72,7.97,0.88,,121.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,93.94,93.94,-0.59,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.00,,,,ב'-ה',6.5,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,103.17,103.17,0.17,08/11/2018,,,לא מתחייבת לחלק תשלומים,0.33,,,,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,125.75,125.75,0.26,08/11/2018,,,לא מתחייבת לחלק תשלומים,3.51,19.17,27.38,1.66,,100.1,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,648.75,648.75,0.28,11/11/2018,,,לא מתחייבת לחלק תשלומים,2.12,2.01,6.90,1.32,א'-ה',26.4,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,114.45,112.21,0.17,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.79,4.21,5.68,0.64,,46.6,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,334.03,327.48,0.14,11/11/2018,,,לא מתחייבת לחלק תשלומים,1.13,0.61,1.81,0.45,א'-ה',53.3,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,99.12,99.12,-2.27,08/11/2018,,,לא מתחייבת לחלק תשלומים,0.78,-0.39,,2.95,,3.7,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,200.18,200.18,-0.14,11/11/2018,,,לא מתחייבת לחלק תשלומים,2.38,-0.10,0.44,1.18,א'-ה',395.7,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,2,4D,גמישות,,,100.86,100.86,0.10,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.10,-1.22,-0.89,1.46,,29.8,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,113.15,113.15,0.16,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.03,2.11,4.57,1.94,,20.3,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,,4D,גמישות,,,235.81,235.81,-0.78,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.34,2.98,2.85,2.63,ב'-ה',85.4,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,,4D,גמישות,,,110.10,110.10,0.06,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.80,1.07,1.90,1.23,,31.4,0.000,1.290,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,,4D,גמישות,,,136.07,136.07,-0.37,08/11/2018,,,לא מתחייבת לחלק תשלומים,3.02,10.16,16.17,1.92,ב'-ה',201.6,0.000,0.600,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,2,4D,גמישות,,,101.71,101.71,-0.23,08/11/2018,,,לא מתחייבת לחלק תשלומים,0.97,,,,,15.6,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,,4D,גמישות,,,101.98,101.98,0.07,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.26,,,,,30.4,0.000,1.500,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,232.01,232.01,-0.12,11/11/2018,,,לא מתחייבת לחלק תשלומים,1.51,1.96,3.41,0.79,א'-ה',1300.9,0.000,1.880,0.040,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,334.51,334.50,-0.18,11/11/2018,,,לא מתחייבת לחלק תשלומים,2.40,4.93,8.83,1.13,א'-ה',175.1,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,,4D,גמישות,,,535.86,535.73,0.14,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.56,4.09,,1.48,ב'-ה',14.4,0.000,0.820,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב פוקוס 4D גמישה,פטורה,05126081,,4D,גמישות,,,106.91,106.91,0.26,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.16,6.57,,1.33,,9.1,0.000,1.900,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פורטה 4D השקעות,פטורה,05124995,,4D,גמישות,,,108.04,108.04,0.26,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.90,3.27,5.40,0.95,,138.4,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות 4D תיק השקעות גמיש,פטורה,05118146,,4D,גמישות,,,150.14,150.14,0.15,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.14,4.24,6.05,0.76,ב'-ה',626.0,0.000,1.770,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות LONG RUN 4D,פטורה,05119748,,4D,גמישות,,,103.00,103.00,0.29,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.15,1.98,4.09,0.90,ב'-ה',5.7,0.000,0.890,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות ספיר 4D גמישה,פטורה,05122064,,4D,גמישות,,,115.75,113.48,0.29,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.63,5.63,6.67,0.67,,55.6,2.000,0.200,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קוואנטום 4D גמישה,פטורה,05127014,,4D,גמישות,,,93.82,93.80,-0.28,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.75,-6.20,,1.43,,2.8,0.000,1.880,0.070,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
קסם אק 4D תיק השקעות גמיש,פטורה,05103643,,4D,גמישות,,,57.04,57.04,-1.40,08/11/2018,,,לא מתחייבת לחלק תשלומים,-1.45,21.96,33.46,2.77,ב'-ה',947.2,0.000,2.000,0.030,0.35%,קסם קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל  5D גמישה (היובל),פטורה,05110556,,5D,גמישות,,,293.93,293.93,0.44,08/11/2018,,,לא מתחייבת לחלק תשלומים,0.07,2.64,,1.38,ב'-ה',29.2,0.000,2.430,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
פסגות FLEX 5D,פטורה,05125380,,5D,גמישות,,,105.27,105.27,-0.14,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.09,4.21,,1.03,,4.1,0.000,1.100,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם אק 5D גמישה,פטורה,05124052,,5D,גמישות,,,1445.06,1445.06,-0.05,08/11/2018,,,לא מתחייבת לחלק תשלומים,0.81,0.43,0.03,1.12,ב'-ה',19.8,0.000,2.410,0.040,0.35%,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
שקדי 5E גמישה,פטורה,05122833,,5E,גמישות,,,95.10,95.10,-1.38,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.90,-3.20,-2.94,2.31,,14.3,0.000,2.000,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
4A MTF ת"א 35 סד-2,פטורה,05123377,9,4A,מניות בארץ,מדד מניות,ת"א 35,107.66,107.66,1.02,31/10/2018,,,לא מתחייבת לחלק תשלומים,-3.39,5.11,11.66,1.67,א'-ה',45.1,0.000,0.000,0.030,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
איילון 4B משקל שווה תא 35,פטורה,05117742,,4B,מניות בארץ,מדד מניות,ת"א 35,153.58,153.58,-0.36,11/11/2018,,,לא מתחייבת לחלק תשלומים,3.65,7.33,9.50,1.59,א'-ה',29.7,0.000,0.750,0.100,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
