תוצאות חיפוש קרנות נאמנות (סה"כ 1433 קרנות)
 02/08/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,99.73,99.73,-0.35,01/08/2018,,,לא מתחייבת לחלק תשלומים,-0.35,-0.99,2.92,1.42,ב'-ה',36.1,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,131.02,131.02,0.02,02/08/2018,,,לא מתחייבת לחלק תשלומים,0.18,-3.89,-8.63,1.19,א'-ה',38.8,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,103.27,103.26,-0.13,01/08/2018,,,לא מתחייבת לחלק תשלומים,-0.13,-4.42,-1.92,1.27,,16.7,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,6,4D,גמישות,,,101.70,101.70,0.32,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.33,-7.51,-4.47,1.60,,19.5,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,113.22,113.22,-0.13,01/08/2018,,,לא מתחייבת לחלק תשלומים,-0.13,11.02,12.87,1.67,,28.5,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,111.12,111.12,-0.13,01/08/2018,,,לא מתחייבת לחלק תשלומים,-0.13,3.31,8.80,0.74,,1518.8,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,95.36,95.36,0.07,01/08/2018,,,לא מתחייבת לחלק תשלומים,0.07,-4.64,,1.74,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4435.17,4435.17,0.29,02/08/2018,,,לא מתחייבת לחלק תשלומים,0.39,0.23,3.40,1.20,א'-ה',244.1,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,648.85,648.85,0.04,01/08/2018,,,לא מתחייבת לחלק תשלומים,0.04,-2.95,-0.29,1.58,ב'-ה',223.6,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,109.33,109.33,0.18,01/08/2018,,,לא מתחייבת לחלק תשלומים,0.18,4.51,,1.23,,83.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
