תוצאות חיפוש קרנות נאמנות (סה"כ 1488 קרנות)
 11/10/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
PTF ממשלתי כללי,פטורה,05112271,,0A,,,,138.42,138.42,0.01,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.34,-0.86,0.14,0.25,א'-ה',202.8,0.000,0.200,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
תכלית TTF גליל 2-5,פטורה,05117379,,00,,,,102.82,102.82,-0.03,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.10,0.79,2.24,0.17,א'-ה',37.4,0.000,0.000,0.030,לא נגבית עמלת הפצה,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
תכלית TTF גליל 5-10,פטורה,05119383,,00,,,,105.38,105.38,-0.03,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.38,-0.23,1.88,0.29,א'-ה',58.4,0.000,0.000,0.030,לא נגבית עמלת הפצה,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
תכלית TTF שחר 2-5,פטורה,05108857,,00,,,,65.56,65.56,0.02,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.02,-1.04,-0.71,0.18,א'-ה',138.6,0.000,0.150,0.030,לא נגבית עמלת הפצה,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
תכלית TTF שחר 5+,פטורה,05119375,,00,,,,119.73,119.73,0.06,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.77,-2.68,-1.11,0.51,א'-ה',100.9,0.000,0.150,0.030,לא נגבית עמלת הפצה,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
PTF שחר 2-5,פטורה,05111422,,00,,,‏שקליות ריבית קבועה ממשלתיות 2-5 שנים,143.82,143.82,0.01,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.03,-1.02,-0.72,0.18,א'-ה',93.9,0.000,0.150,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF שחר 5+,פטורה,05111489,,00,,,שקליות ריבית קבועה ממשלתיות 5+ שנים,154.66,154.66,0.06,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.77,-2.75,-1.25,0.51,א'-ה',56.1,0.000,0.250,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF גליל 2-5,פטורה,05111240,,00,,,צמודות מדד - ממשלתיות 2-5 שנים,129.54,129.54,-0.03,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.10,0.78,2.20,0.17,א'-ה',104.1,0.000,0.000,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
PTF גליל 5-10,פטורה,05117833,,00,,,צמודות מדד - ממשלתיות 5-10 שנים,113.82,113.82,-0.03,11/10/2018,,,לא מתחייבת לחלק תשלומים,-0.39,-0.25,1.83,0.29,א'-ה',27.0,0.000,0.000,0.020,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,100.44,100.44,-2.44,10/10/2018,,,לא מתחייבת לחלק תשלומים,-1.94,-0.29,2.02,1.18,ב'-ה',31.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,133.84,133.84,-0.70,11/10/2018,,,לא מתחייבת לחלק תשלומים,-1.62,-1.82,0.83,1.00,א'-ה',37.1,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,103.67,103.66,-1.58,10/10/2018,,,לא מתחייבת לחלק תשלומים,-2.10,-4.05,-1.25,1.31,,9.9,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,114.35,114.35,-2.03,10/10/2018,,,לא מתחייבת לחלק תשלומים,0.52,12.13,14.57,1.34,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
