תוצאות חיפוש קרנות נאמנות (סה"כ 1407 קרנות)
 04/04/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,98.43,98.43,0.10,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.92,-2.28,4.49,1.30,ב'-ה',41.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,132.30,132.30,-1.35,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.86,-2.95,-1.30,1.25,א'-ה',42.5,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,104.42,104.40,-0.11,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.92,-3.37,-0.47,1.30,,35.2,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,4,4D,גמישות,,,103.45,103.45,-0.49,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.28,-5.92,-1.30,1.31,,59.4,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,109.50,109.50,-0.07,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.07,1.80,10.11,0.73,,658.7,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,95.70,95.70,-0.41,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.41,-4.30,,,,3.1,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4264.00,4264.00,-1.18,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.58,-3.64,1.94,0.99,א'-ה',290.1,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,646.26,646.26,-0.21,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.65,-3.34,0.91,1.46,ב'-ה',243.2,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,104.62,104.62,0.17,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.86,0.01,,1.13,,40.0,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,93.12,93.12,-1.21,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.67,-6.81,1.49,1.51,א'-ה',3.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דיאמונד 4D גמישה,פטורה,05123609,4,4D,גמישות,,,104.32,104.32,0.55,03/04/2018,,,לא מתחייבת לחלק תשלומים,-1.23,-1.14,0.23,2.03,,5.2,0.000,1.850,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,592.72,592.72,-2.67,04/04/2018,,,לא מתחייבת לחלק תשלומים,-3.15,-6.80,1.90,1.60,א'-ה',36.3,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,4,4D,גמישות,,,108.43,106.30,-0.07,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.23,-1.28,3.04,0.56,,45.5,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,324.00,317.65,-0.96,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.19,-2.41,2.16,0.50,א'-ה',67.1,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,4,4D,גמישות,,,97.18,97.18,-1.63,03/04/2018,,,לא מתחייבת לחלק תשלומים,-1.63,-2.34,,,,0.8,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,191.41,191.41,-1.41,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.91,-4.48,1.43,1.00,א'-ה',553.6,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,4,4D,גמישות,,,97.94,97.94,-0.10,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.71,-4.08,,1.16,,43.0,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,4,4D,גמישות,,,109.35,109.35,0.72,03/04/2018,,,לא מתחייבת לחלק תשלומים,-1.04,-1.32,10.33,2.21,,13.9,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,4,4D,גמישות,,,225.52,225.52,1.05,03/04/2018,,,לא מתחייבת לחלק תשלומים,-1.20,-1.52,15.49,2.45,ב'-ה',84.2,0.000,2.850,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,4,4D,גמישות,,,106.71,106.71,-0.36,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.53,-2.04,2.80,0.94,,64.9,0.000,1.290,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,4,4D,גמישות,,,124.95,123.10,1.33,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.78,-0.34,11.31,1.78,ב'-ה',96.5,1.500,0.600,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,219.22,219.22,-1.18,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.73,-3.66,2.13,0.80,א'-ה',1877.9,0.000,1.880,0.040,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,309.21,309.20,-1.18,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.62,-3.01,5.34,0.94,א'-ה',137.3,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,4,4D,גמישות,,,503.21,503.16,-0.01,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.41,-2.24,,,ב'-ה',13.5,0.000,0.820,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב פוקוס 4D גמישה,פטורה,05126081,4,4D,גמישות,,,99.13,99.13,-0.03,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.71,-1.19,,,,5.5,0.000,1.900,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
סיגמא 4D גמישה,פטורה,05124060,4,4D,גמישות,,,99.63,99.63,-0.42,03/04/2018,,,לא מתחייבת לחלק תשלומים,-0.55,-3.35,-0.30,1.10,,3.4,0.000,1.250,0.040,0.35%,סיגמא קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
