תוצאות חיפוש קרנות נאמנות (סה"כ 2055 קרנות)
 29/01/2019 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,91.53,91.53,0.44,28/01/2019,,,לא מתחייבת לחלק תשלומים,5.79,5.79,-9.13,2.05,ב'-ה',18.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,105.88,105.88,0.22,28/01/2019,,,לא מתחייבת לחלק תשלומים,12.65,12.65,3.82,2.16,,37.8,0.000,1.260,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,107.48,107.48,0.90,28/01/2019,,,לא מתחייבת לחלק תשלומים,7.80,7.80,-0.07,1.65,,1025.2,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,100.00,100.00,0.40,28/01/2019,,,לא מתחייבת לחלק תשלומים,3.15,3.15,,,,0.4,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4399.30,4399.30,0.41,29/01/2019,,,לא מתחייבת לחלק תשלומים,3.26,3.26,-0.58,1.73,א'-ה',208.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,631.68,631.68,0.41,28/01/2019,,,לא מתחייבת לחלק תשלומים,3.07,3.07,-5.52,1.80,ב'-ה',196.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,108.81,108.81,0.29,28/01/2019,,,לא מתחייבת לחלק תשלומים,1.71,1.71,4.01,1.05,,173.0,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,99.05,99.05,1.14,28/01/2019,,,לא מתחייבת לחלק תשלומים,6.75,6.75,,1.30,,8.6,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,116.41,116.41,0.33,28/01/2019,,,לא מתחייבת לחלק תשלומים,5.13,5.13,10.32,2.00,,118.0,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,627.20,627.20,0.32,29/01/2019,,,לא מתחייבת לחלק תשלומים,1.30,1.30,-1.38,1.44,א'-ה',24.9,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
