תוצאות חיפוש קרנות נאמנות (סה"כ 1619 קרנות)
 14/11/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,94.83,94.83,-0.50,13/11/2018,,,לא מתחייבת לחלק תשלומים,-3.28,-5.86,-3.75,1.42,ב'-ה',29.0,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.34,135.34,-0.07,14/11/2018,,,לא מתחייבת לחלק תשלומים,1.20,-0.72,1.60,0.95,א'-ה',35.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,100.84,100.82,0.30,13/11/2018,,,לא מתחייבת לחלק תשלומים,-0.95,-6.68,-4.86,1.59,,8.1,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,109.11,109.11,-0.05,13/11/2018,,,לא מתחייבת לחלק תשלומים,-1.41,6.99,8.55,1.38,,67.5,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,108.72,108.72,-0.14,13/11/2018,,,לא מתחייבת לחלק תשלומים,-0.89,1.08,3.93,1.03,,1510.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,90.95,90.95,-0.36,13/11/2018,,,לא מתחייבת לחלק תשלומים,-0.77,-9.05,,2.07,,0.5,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,99.97,99.97,0.00,13/11/2018,,,לא מתחייבת לחלק תשלומים,-0.02,,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4577.08,4577.08,-0.26,14/11/2018,,,לא מתחייבת לחלק תשלומים,1.50,3.44,4.58,1.29,א'-ה',234.6,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,665.46,665.46,0.36,13/11/2018,,,לא מתחייבת לחלק תשלומים,1.13,-0.46,-0.52,1.40,ב'-ה',217.7,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,110.61,110.61,0.07,13/11/2018,,,לא מתחייבת לחלק תשלומים,0.08,5.74,6.97,0.88,,121.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,91.38,91.38,0.14,13/11/2018,,,לא מתחייבת לחלק תשלומים,-0.78,,,,ב'-ה',6.5,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,102.20,102.20,-0.50,13/11/2018,,,לא מתחייבת לחלק תשלומים,-0.61,,,,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
