תוצאות חיפוש קרנות נאמנות (סה"כ 2061 קרנות)
 15/01/2019 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,89.27,89.27,-0.57,14/01/2019,,,לא מתחייבת לחלק תשלומים,3.18,3.18,-11.38,2.05,ב'-ה',18.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,104.15,104.15,-0.29,14/01/2019,,,לא מתחייבת לחלק תשלומים,10.81,10.81,2.13,2.16,,37.8,0.000,1.260,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,103.92,103.92,-0.72,14/01/2019,,,לא מתחייבת לחלק תשלומים,4.23,4.23,-3.38,1.65,,1025.2,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,97.72,97.72,-0.36,14/01/2019,,,לא מתחייבת לחלק תשלומים,0.79,0.79,,,,0.4,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4307.23,4307.23,0.51,15/01/2019,,,לא מתחייבת לחלק תשלומים,1.10,1.10,-2.66,1.73,א'-ה',208.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,620.03,620.03,-0.92,14/01/2019,,,לא מתחייבת לחלק תשלומים,1.17,1.17,-7.26,1.80,ב'-ה',196.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,107.21,107.21,-0.15,14/01/2019,,,לא מתחייבת לחלק תשלומים,0.21,0.21,2.49,1.05,,173.0,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,94.60,94.60,-0.41,14/01/2019,,,לא מתחייבת לחלק תשלומים,1.95,1.95,,1.30,,8.6,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,114.41,114.41,-0.89,14/01/2019,,,לא מתחייבת לחלק תשלומים,3.32,3.32,8.42,2.00,,118.0,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,620.27,620.27,0.26,15/01/2019,,,לא מתחייבת לחלק תשלומים,0.18,0.18,-2.47,1.44,א'-ה',24.9,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,107.40,105.29,-0.44,14/01/2019,,,לא מתחייבת לחלק תשלומים,0.43,0.43,-2.22,0.98,,44.4,2.000,0.200,0.020,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,322.70,316.37,0.09,15/01/2019,,,לא מתחייבת לחלק תשלומים,-0.09,-0.09,-2.80,0.66,א'-ה',51.5,2.000,0.390,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקעות גביש,פטורה,05128582,,4D,גמישות,,,96.70,96.70,-0.93,14/01/2019,,,לא מתחייבת לחלק תשלומים,-2.19,-2.19,,,,1.4,0.000,1.550,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,95.03,95.03,0.65,14/01/2019,,,לא מתחייבת לחלק תשלומים,8.63,8.63,-4.50,3.42,,2.1,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,186.91,186.91,0.27,15/01/2019,,,לא מתחייבת לחלק תשלומים,0.82,0.82,-6.73,1.47,א'-ה',335.9,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,,4D,גמישות,,,92.25,92.25,-0.99,14/01/2019,,,לא מתחייבת לחלק תשלומים,0.91,0.91,-9.66,1.84,,20.7,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,105.20,105.20,-1.03,14/01/2019,,,לא מתחייבת לחלק תשלומים,1.49,1.49,-5.06,2.09,,13.2,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
