תוצאות חיפוש קרנות נאמנות (סה"כ 1429 קרנות)
 10/06/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,100.95,100.95,0.39,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.47,0.22,2.91,1.48,ב'-ה',36.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,133.31,133.31,-0.28,10/06/2018,,,לא מתחייבת לחלק תשלומים,0.13,-2.21,-5.30,1.33,א'-ה',40.1,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,104.50,104.48,0.19,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.91,-3.30,-3.31,1.38,,20.7,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,,4D,גמישות,,,105.04,105.04,-0.10,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.95,-4.47,-3.43,1.49,,33.1,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,112.55,112.55,-0.23,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.85,4.64,9.92,0.75,,961.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,98.96,98.96,0.37,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.80,-1.04,,,,2.9,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4446.08,4446.08,-0.45,10/06/2018,,,לא מתחייבת לחלק תשלומים,1.11,0.48,1.74,1.17,א'-ה',269.2,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,665.48,665.48,0.15,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.47,-0.46,-0.77,1.62,ב'-ה',232.3,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,108.95,108.95,-0.06,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.17,4.15,,1.18,,49.2,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,95.51,95.51,-0.06,10/06/2018,,,לא מתחייבת לחלק תשלומים,0.96,-4.41,-3.56,1.58,א'-ה',5.2,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,101.22,101.22,0.13,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.10,,,,,,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,120.14,120.14,-0.02,07/06/2018,,,לא מתחייבת לחלק תשלומים,3.64,13.86,12.50,2.20,,6.1,0.000,1.850,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,621.09,621.09,-0.27,10/06/2018,,,לא מתחייבת לחלק תשלומים,1.37,-2.34,3.22,1.85,א'-ה',32.7,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,111.30,109.12,0.08,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.39,1.34,4.02,0.63,,45.4,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,327.58,321.16,-0.10,10/06/2018,,,לא מתחייבת לחלק תשלומים,-0.04,-1.33,0.59,0.59,א'-ה',63.6,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,107.45,107.45,-1.14,07/06/2018,,,לא מתחייבת לחלק תשלומים,3.12,7.98,,,,0.9,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,200.75,200.75,-0.22,10/06/2018,,,לא מתחייבת לחלק תשלומים,1.18,0.18,1.02,1.25,א'-ה',511.5,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,,4D,גמישות,,,103.72,103.72,0.29,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.79,1.58,,1.43,,36.8,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,115.30,115.30,-0.10,07/06/2018,,,לא מתחייבת לחלק תשלומים,2.02,4.05,13.44,2.35,,14.2,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,,4D,גמישות,,,244.27,244.27,-0.64,07/06/2018,,,לא מתחייבת לחלק תשלומים,3.03,6.67,19.28,2.56,ב'-ה',76.3,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,,4D,גמישות,,,109.37,109.37,0.15,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.00,0.40,1.45,1.11,,58.0,0.000,1.290,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,,4D,גמישות,,,133.76,131.78,0.02,07/06/2018,,,לא מתחייבת לחלק תשלומים,2.22,6.69,21.52,1.77,ב'-ה',103.5,1.500,0.600,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,,4D,גמישות,,,100.27,100.27,0.13,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.62,,,,,,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,226.00,226.00,-0.15,10/06/2018,,,לא מתחייבת לחלק תשלומים,0.65,-0.69,1.53,0.97,א'-ה',1590.1,0.000,1.880,0.040,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,323.03,323.02,-0.02,10/06/2018,,,לא מתחייבת לחלק תשלומים,1.09,1.33,6.06,1.05,א'-ה',145.0,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,,4D,גמישות,,,521.61,521.54,0.38,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.67,1.33,,1.46,ב'-ה',13.0,0.000,0.820,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב פוקוס 4D גמישה,פטורה,05126081,,4D,גמישות,,,102.93,102.93,0.06,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.96,2.60,,,,5.8,0.000,1.900,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פורטה 4D השקעות,פטורה,05124995,,4D,גמישות,,,105.28,105.28,0.27,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.78,0.63,,0.87,,123.4,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות 4D תיק השקעות גמיש,פטורה,05118146,,4D,גמישות,,,145.45,145.45,0.26,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.89,0.99,3.14,0.83,ב'-ה',649.8,0.000,1.770,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות LONG RUN 4D,פטורה,05119748,,4D,גמישות,,,100.39,100.39,0.32,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.11,-0.60,7.08,1.45,ב'-ה',8.4,0.000,0.890,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות ספיר 4D גמישה,פטורה,05122064,,4D,גמישות,,,110.07,107.91,0.06,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.41,0.45,0.58,0.78,,54.9,2.000,0.200,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קוואנטום 4D גמישה,פטורה,05127014,,4D,גמישות,,,96.23,96.19,0.20,07/06/2018,,,לא מתחייבת לחלק תשלומים,2.11,-3.81,,,,2.5,0.000,1.880,0.070,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
קסם אק 4D תיק השקעות גמיש,פטורה,05103643,,4D,גמישות,,,57.69,57.69,-0.83,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.12,23.35,36.03,2.47,ב'-ה',319.3,0.000,2.000,0.030,0.35%,קסם קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
תלתן 4D גמישה,פטורה,05124797,,4D,גמישות,,,110.19,110.19,0.28,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.55,8.05,,1.66,,6.7,0.000,1.200,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל  5D גמישה (היובל),פטורה,05110556,,5D,גמישות,,,282.71,282.71,0.29,07/06/2018,,,לא מתחייבת לחלק תשלומים,0.57,-1.27,,,ב'-ה',30.1,0.000,2.430,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
פסגות FLEX 5D,פטורה,05125380,,5D,גמישות,,,101.67,101.67,0.33,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.32,0.64,,,,9.0,0.000,1.200,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם אק 5D גמישה,פטורה,05124052,,5D,גמישות,,,1435.42,1435.42,0.00,07/06/2018,,,לא מתחייבת לחלק תשלומים,1.25,-0.24,-0.31,1.13,ב'-ה',19.6,0.000,2.410,0.040,0.35%,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
שקדי 5E גמישה,פטורה,05122833,,5E,גמישות,,,107.75,107.75,-0.33,07/06/2018,,,לא מתחייבת לחלק תשלומים,2.34,6.60,12.36,2.17,,15.3,0.000,2.000,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
4A MTF ת"א 35 סד-2,פטורה,05123377,,4A,מניות בארץ,מדד מניות,ת"א 35,103.96,103.96,0.02,10/06/2018,,,לא מתחייבת לחלק תשלומים,1.36,1.49,7.91,1.90,א'-ה',16.3,0.000,0.000,0.030,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
