תוצאות חיפוש קרנות נאמנות (סה"כ 1445 קרנות)
 05/09/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,101.50,101.50,-0.16,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.16,0.76,5.21,1.14,ב'-ה',33.8,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,134.05,134.05,-0.73,05/09/2018,,,לא מתחייבת לחלק תשלומים,-1.28,-1.67,2.60,1.02,א'-ה',36.4,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,106.95,106.94,-0.40,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.40,-1.02,4.26,1.25,,12.3,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,113.33,113.33,-0.25,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.25,11.13,14.34,1.28,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,112.76,112.76,-0.12,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.12,4.83,8.48,0.77,,1564.1,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,97.97,97.97,-0.82,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.82,-2.03,,1.41,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4621.68,4621.68,-1.01,05/09/2018,,,לא מתחייבת לחלק תשלומים,-0.98,4.45,7.96,1.13,א'-ה',236.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,685.90,685.90,0.38,04/09/2018,,,לא מתחייבת לחלק תשלומים,0.38,2.59,5.56,1.31,ב'-ה',221.5,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,112.26,112.26,0.08,04/09/2018,,,לא מתחייבת לחלק תשלומים,0.08,7.31,,0.80,,94.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,98.54,98.54,-0.53,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.53,,,,ב'-ה',7.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,103.49,103.49,-0.23,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.24,,,,,10.5,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,123.13,123.13,-0.53,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.53,16.69,22.64,1.83,,64.0,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,642.28,642.28,-1.38,05/09/2018,,,לא מתחייבת לחלק תשלומים,-1.49,0.99,10.00,1.57,א'-ה',27.6,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,113.96,111.73,-0.29,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.29,3.76,6.28,0.57,,46.7,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,331.19,324.70,-0.58,05/09/2018,,,לא מתחייבת לחלק תשלומים,-0.63,-0.24,2.71,0.51,א'-ה',55.9,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,111.71,111.71,0.33,04/09/2018,,,לא מתחייבת לחלק תשלומים,0.33,12.26,,2.25,,4.3,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,200.73,200.73,-1.29,05/09/2018,,,לא מתחייבת לחלק תשלומים,-1.51,0.17,3.89,1.16,א'-ה',447.0,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,,4D,גמישות,,,104.51,104.51,-0.15,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.15,2.35,4.26,1.26,,35.6,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,118.49,118.49,0.06,04/09/2018,,,לא מתחייבת לחלק תשלומים,0.06,6.93,15.67,1.67,,21.9,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,,4D,גמישות,,,253.25,253.25,0.45,04/09/2018,,,לא מתחייבת לחלק תשלומים,0.45,10.59,15.54,2.04,ב'-ה',90.2,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,,4D,גמישות,,,110.46,110.46,-0.14,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.14,1.40,4.57,1.06,,40.4,0.000,1.290,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,,4D,גמישות,,,132.35,132.35,-0.44,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.44,7.15,18.66,1.26,ב'-ה',156.7,0.000,0.600,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,,4D,גמישות,,,101.52,101.52,-0.21,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.21,,,,,13.4,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,,4D,גמישות,,,101.20,101.20,0.02,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.03,,,,,16.6,0.000,1.500,0.030,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,230.57,230.57,-0.73,05/09/2018,,,לא מתחייבת לחלק תשלומים,-0.61,1.32,5.21,0.87,א'-ה',1391.8,0.000,1.880,0.040,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,332.57,332.56,-0.80,05/09/2018,,,לא מתחייבת לחלק תשלומים,-1.21,4.32,11.64,1.03,א'-ה',151.4,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,,4D,גמישות,,,541.71,541.60,-0.35,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.35,5.23,,1.20,ב'-ה',14.3,0.000,0.820,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב פוקוס 4D גמישה,פטורה,05126081,,4D,גמישות,,,107.80,107.80,-0.10,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.10,7.46,,1.21,,7.6,0.000,1.900,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פורטה 4D השקעות,פטורה,05124995,,4D,גמישות,,,108.65,108.65,0.05,04/09/2018,,,לא מתחייבת לחלק תשלומים,0.05,3.85,8.43,0.85,,129.1,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות 4D תיק השקעות גמיש,פטורה,05118146,,4D,גמישות,,,150.45,150.45,-0.03,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.03,4.46,6.66,0.71,ב'-ה',644.7,0.000,1.770,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות LONG RUN 4D,פטורה,05119748,,4D,גמישות,,,100.42,100.42,-0.22,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.47,-0.57,3.05,0.90,ב'-ה',5.9,0.000,0.890,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות ספיר 4D גמישה,פטורה,05122064,,4D,גמישות,,,113.43,111.21,-0.20,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.13,3.52,5.61,0.70,,55.7,2.000,0.200,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קוואנטום 4D גמישה,פטורה,05127014,,4D,גמישות,,,96.00,95.97,-0.25,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.25,-4.03,,1.10,,2.9,0.000,1.880,0.070,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
קסם אק 4D תיק השקעות גמיש,פטורה,05103643,,4D,גמישות,,,61.77,61.77,0.41,04/09/2018,,,לא מתחייבת לחלק תשלומים,0.41,32.07,47.39,1.92,ב'-ה',904.8,0.000,2.000,0.030,0.35%,קסם קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל  5D גמישה (היובל),פטורה,05110556,,5D,גמישות,,,287.79,287.79,-0.45,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.45,0.50,,1.77,ב'-ה',29.3,0.000,2.430,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
פסגות FLEX 5D,פטורה,05125380,,5D,גמישות,,,105.02,105.02,-0.49,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.26,3.96,,0.97,,4.4,0.000,1.100,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם אק 5D גמישה,פטורה,05124052,,5D,גמישות,,,1473.79,1473.79,-0.74,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.74,2.43,3.63,1.08,ב'-ה',19.7,0.000,2.410,0.040,0.35%,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
שקדי 5E גמישה,פטורה,05122833,,5E,גמישות,,,104.59,104.59,-0.09,04/09/2018,,,לא מתחייבת לחלק תשלומים,-0.09,5.07,6.90,1.74,,16.4,0.000,2.000,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
