תוצאות חיפוש קרנות נאמנות (סה"כ 2054 קרנות)
 13/02/2019 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,92.11,92.11,0.44,12/02/2019,,,לא מתחייבת לחלק תשלומים,-0.07,6.46,-11.74,2.42,ב'-ה',16.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,105.33,105.33,0.56,12/02/2019,,,לא מתחייבת לחלק תשלומים,-1.32,12.07,1.66,2.85,,44.6,0.000,1.260,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,109.02,109.02,0.44,12/02/2019,,,לא מתחייבת לחלק תשלומים,0.56,9.35,-0.15,2.12,,1041.2,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,102.25,102.25,0.33,12/02/2019,,,לא מתחייבת לחלק תשלומים,0.92,5.47,,,,0.4,0.000,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4537.23,4537.23,0.90,13/02/2019,,,לא מתחייבת לחלק תשלומים,1.71,6.50,0.67,1.84,א'-ה',215.9,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,652.56,652.56,0.62,12/02/2019,,,לא מתחייבת לחלק תשלומים,1.14,6.48,-4.78,1.93,ב'-ה',204.7,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,109.50,109.50,0.39,12/02/2019,,,לא מתחייבת לחלק תשלומים,-0.02,2.36,2.03,1.06,,186.5,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,101.95,101.95,0.01,12/02/2019,,,לא מתחייבת לחלק תשלומים,1.51,9.87,,1.57,,8.3,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,117.54,117.54,-0.09,12/02/2019,,,לא מתחייבת לחלק תשלומים,0.20,6.15,6.61,2.22,,131.1,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,633.61,633.61,0.73,13/02/2019,,,לא מתחייבת לחלק תשלומים,-0.18,2.33,-3.06,1.47,א'-ה',25.0,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
