תוצאות חיפוש קרנות נאמנות (סה"כ 1564 קרנות)
 28/10/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
MTF מח SP5MI13T,פטורה,05128038,,,,,,100.70,100.70,0.42,25/10/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.250,0.000,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
NASDAQ 100 PTF,פטורה,05127766,,,,,,92.48,92.48,1.76,25/10/2018,,,לא מתחייבת לחלק תשלומים,-7.22,,,,,6.3,0.000,0.000,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,99.61,99.61,0.03,28/10/2018,,,לא מתחייבת לחלק תשלומים,-0.49,,,,,2.1,0.000,0.480,0.050,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלפא טק גמישה,פטורה,05128293,,,,,,99.99,99.99,0.00,25/10/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק מניות ארה"ב,פטורה,05128327,,,,,,99.99,99.99,0.00,25/10/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק תיק השקעות פלוס,פטורה,05128335,,,,,,99.99,99.99,-0.01,25/10/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מור QEF תיק מנוהל,פטורה,05128376,,,,,,100.04,100.04,0.00,28/10/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.950,0.030,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
פסגות כספית פיקדון פלוס,פטורה,05127881,,,,,,100.03,100.03,0.00,28/10/2018,,,לא מתחייבת לחלק תשלומים,0.00,,,,,49.2,0.000,0.000,0.010,0.1%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם MDAX KTF ממ,פטורה,05128061,,,,,,89.28,89.28,1.72,25/10/2018,,,לא מתחייבת לחלק תשלומים,-9.61,,,,,1.0,0.000,0.000,0.020,לא נגבית עמלת הפצה,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
קסם RUSSELL 2000 KTF ממ,פטורה,05128079,,,,,,88.40,88.40,1.74,25/10/2018,,,לא מתחייבת לחלק תשלומים,-11.79,,,,,1.8,0.000,0.000,0.020,לא נגבית עמלת הפצה,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
