תוצאות חיפוש קרנות נאמנות (סה"כ 1444 קרנות)
 26/08/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,101.30,101.30,0.00,23/08/2018,,,לא מתחייבת לחלק תשלומים,1.22,0.57,4.54,1.42,ב'-ה',33.8,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.80,135.80,0.53,26/08/2018,,,לא מתחייבת לחלק תשלומים,3.83,-0.38,-5.30,1.19,א'-ה',36.4,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,105.96,105.95,1.97,23/08/2018,,,לא מתחייבת לחלק תשלומים,2.48,-1.93,0.64,1.27,,12.3,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,113.18,113.18,0.18,23/08/2018,,,לא מתחייבת לחלק תשלומים,-0.17,10.98,12.83,1.67,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,111.94,111.94,0.31,23/08/2018,,,לא מתחייבת לחלק תשלומים,0.61,4.07,9.61,0.74,,1564.1,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,98.19,98.19,0.85,23/08/2018,,,לא מתחייבת לחלק תשלומים,3.04,-1.81,,1.74,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4615.49,4615.49,0.42,26/08/2018,,,לא מתחייבת לחלק תשלומים,4.47,4.31,7.61,1.20,א'-ה',236.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,675.80,675.80,0.64,23/08/2018,,,לא מתחייבת לחלק תשלומים,4.20,1.08,3.85,1.58,ב'-ה',221.5,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,111.37,111.37,0.33,23/08/2018,,,לא מתחייבת לחלק תשלומים,2.05,6.46,,1.23,,94.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,96.92,96.92,0.51,23/08/2018,,,לא מתחייבת לחלק תשלומים,0.95,,,,ב'-ה',7.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
