תוצאות חיפוש קרנות נאמנות (סה"כ 1444 קרנות)
 13/09/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,99.88,99.88,0.07,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.75,-0.84,3.53,1.14,ב'-ה',32.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,134.19,134.19,0.22,13/09/2018,,,לא מתחייבת לחלק תשלומים,-1.18,-1.56,2.71,1.02,א'-ה',37.0,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,104.00,103.99,-0.74,12/09/2018,,,לא מתחייבת לחלק תשלומים,-3.15,-3.75,1.38,1.25,,10.8,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,111.57,111.57,0.00,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.80,9.40,12.56,1.28,,66.2,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,112.14,112.14,0.21,12/09/2018,,,לא מתחייבת לחלק תשלומים,-0.66,4.26,7.88,0.77,,1580.7,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,96.55,96.55,0.54,12/09/2018,,,לא מתחייבת לחלק תשלומים,-2.26,-3.45,,1.41,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4621.06,4621.06,0.25,13/09/2018,,,לא מתחייבת לחלק תשלומים,-1.00,4.43,7.95,1.13,א'-ה',245.2,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,674.18,674.18,-0.40,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.33,0.84,3.75,1.31,ב'-ה',230.2,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,110.83,110.83,-0.23,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.19,5.95,,0.80,,104.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,4,4D,גמישות,,,97.77,97.77,-0.24,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.31,,,,ב'-ה',7.1,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,4,4D,גמישות,,,102.50,102.50,-0.41,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.20,,,,,9.6,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,4,4D,גמישות,,,120.62,120.62,-0.03,12/09/2018,,,לא מתחייבת לחלק תשלומים,-2.55,14.31,20.14,1.83,,84.4,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,646.41,646.41,0.56,13/09/2018,,,לא מתחייבת לחלק תשלומים,-0.86,1.64,10.70,1.57,א'-ה',28.0,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,4,4D,גמישות,,,113.30,111.08,-0.20,12/09/2018,,,לא מתחייבת לחלק תשלומים,-0.87,3.16,5.66,0.57,,47.5,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,332.42,325.90,0.09,13/09/2018,,,לא מתחייבת לחלק תשלומים,-0.26,0.13,3.09,0.51,א'-ה',54.9,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,4,4D,גמישות,,,107.59,107.59,0.46,12/09/2018,,,לא מתחייבת לחלק תשלומים,-3.37,8.12,,2.25,,5.2,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,200.44,200.44,0.35,13/09/2018,,,לא מתחייבת לחלק תשלומים,-1.65,0.02,3.74,1.16,א'-ה',441.8,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,4,4D,גמישות,,,102.09,102.09,-0.95,12/09/2018,,,לא מתחייבת לחלק תשלומים,-2.46,-0.02,1.85,1.26,,35.8,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,4,4D,גמישות,,,115.86,115.86,-0.34,12/09/2018,,,לא מתחייבת לחלק תשלומים,-2.16,4.56,13.10,1.67,,23.6,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,4,4D,גמישות,,,247.66,247.66,0.36,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.77,8.15,12.99,2.04,ב'-ה',93.7,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,4,4D,גמישות,,,108.64,108.63,-0.42,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.80,-0.28,2.84,1.06,,36.9,0.000,1.290,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,4,4D,גמישות,,,129.27,129.27,-0.14,12/09/2018,,,לא מתחייבת לחלק תשלומים,-2.75,4.66,15.90,1.26,ב'-ה',198.4,0.000,0.600,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,4,4D,גמישות,,,100.98,100.98,0.04,12/09/2018,,,לא מתחייבת לחלק תשלומים,-0.74,,,,,15.4,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,4,4D,גמישות,,,100.95,100.95,-0.01,12/09/2018,,,לא מתחייבת לחלק תשלומים,-0.28,,,,,25.2,0.000,1.500,0.030,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,230.73,230.73,0.24,13/09/2018,,,לא מתחייבת לחלק תשלומים,-0.54,1.39,5.28,0.87,א'-ה',1376.7,0.000,1.880,0.040,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,332.77,332.76,0.21,13/09/2018,,,לא מתחייבת לחלק תשלומים,-1.15,4.39,11.71,1.03,א'-ה',167.8,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,4,4D,גמישות,,,532.69,532.59,-0.38,12/09/2018,,,לא מתחייבת לחלק תשלומים,-2.01,3.48,,1.20,ב'-ה',14.8,0.000,0.820,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב פוקוס 4D גמישה,פטורה,05126081,4,4D,גמישות,,,106.46,106.46,0.00,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.34,6.12,,1.21,,9.1,0.000,1.900,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פורטה 4D השקעות,פטורה,05124995,4,4D,גמישות,,,107.39,107.39,-0.20,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.11,2.65,7.18,0.85,,139.0,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות 4D תיק השקעות גמיש,פטורה,05118146,4,4D,גמישות,,,149.15,149.15,-0.23,12/09/2018,,,לא מתחייבת לחלק תשלומים,-0.90,3.55,5.74,0.71,ב'-ה',644.7,0.000,1.770,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות LONG RUN 4D,פטורה,05119748,4,4D,גמישות,,,99.65,99.65,-0.28,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.23,-1.34,2.26,0.90,ב'-ה',5.9,0.000,0.890,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות ספיר 4D גמישה,פטורה,05122064,4,4D,גמישות,,,112.97,110.75,-0.08,12/09/2018,,,לא מתחייבת לחלק תשלומים,-0.54,3.09,5.18,0.70,,55.7,2.000,0.200,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קוואנטום 4D גמישה,פטורה,05127014,4,4D,גמישות,,,94.27,94.24,-0.17,12/09/2018,,,לא מתחייבת לחלק תשלומים,-2.05,-5.76,,1.10,,3.0,0.000,1.880,0.070,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
קסם אק 4D תיק השקעות גמיש,פטורה,05103643,4,4D,גמישות,,,61.46,61.46,1.42,12/09/2018,,,לא מתחייבת לחלק תשלומים,-0.10,31.41,46.65,1.92,ב'-ה',1011.4,0.000,2.000,0.030,0.35%,קסם קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל  5D גמישה (היובל),פטורה,05110556,4,5D,גמישות,,,285.23,285.23,-0.17,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.34,-0.39,,1.77,ב'-ה',29.1,0.000,2.430,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
פסגות FLEX 5D,פטורה,05125380,4,5D,גמישות,,,104.18,104.18,-0.24,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.05,3.13,,0.97,,4.4,0.000,1.100,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם אק 5D גמישה,פטורה,05124052,4,5D,גמישות,,,1444.86,1444.86,-0.45,12/09/2018,,,לא מתחייבת לחלק תשלומים,-2.69,0.42,1.60,1.08,ב'-ה',20.4,0.000,2.410,0.040,0.35%,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
שקדי 5E גמישה,פטורה,05122833,4,5E,גמישות,,,100.15,100.15,-1.82,12/09/2018,,,לא מתחייבת לחלק תשלומים,-5.31,-0.42,1.32,1.74,,16.1,0.000,2.000,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
4A MTF ת"א 35 סד-2,פטורה,05123377,,4A,מניות בארץ,מדד מניות,ת"א 35,110.43,110.43,-0.34,13/09/2018,,,לא מתחייבת לחלק תשלומים,-2.29,7.81,16.17,1.82,א'-ה',36.0,0.000,0.000,0.030,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
4A PTF אנדקס מנ LARGE CAP,פטורה,05125232,,4A,מניות בארץ,מדד מניות,ת"א 35,112.08,112.08,0.66,13/09/2018,,,לא מתחייבת לחלק תשלומים,-1.68,8.15,,1.76,,2.7,0.000,0.450,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
MTF ת"א 4A 35 סד-1,פטורה,05109897,,4A,מניות בארץ,מדד מניות,ת"א 35,162.99,162.99,-0.34,13/09/2018,,,לא מתחייבת לחלק תשלומים,-2.30,7.76,16.09,1.82,א'-ה',183.0,0.000,0.100,0.010,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
א.ש LARGE CP 4A SMARTBETA,פטורה,05121306,,4A,מניות בארץ,מדד מניות,ת"א 35,127.35,127.35,0.82,13/09/2018,,,לא מתחייבת לחלק תשלומים,-1.11,16.44,27.85,1.99,א'-ה',299.2,0.000,0.800,0.040,לא נגבית עמלת הפצה,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
איביאי 4A סל ת"א 35 מחקה,פטורה,05101506,,4A,מניות בארץ,מדד מניות,ת"א 35,364.59,364.59,-0.34,13/09/2018,,,לא מתחייבת לחלק תשלומים,-2.30,7.65,15.88,1.82,א'-ה',91.5,0.000,0.250,0.030,לא נגבית עמלת הפצה,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איילון 4B משקל שווה תא 35,פטורה,05117742,,4B,מניות בארץ,מדד מניות,ת"א 35,150.97,150.97,-0.59,13/09/2018,,,לא מתחייבת לחלק תשלומים,-1.76,5.51,10.65,1.82,א'-ה',32.4,0.000,0.750,0.100,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4A אנדקס מנ EW-LARGE,פטורה,05125307,6,4A,מניות בארץ,מדד מניות,ת"א 35,110.20,110.20,0.00,13/09/2018,,,לא מתחייבת לחלק תשלומים,-0.80,7.34,,1.73,,0.3,0.000,0.550,0.020,לא נגבית עמלת הפצה,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4B ת"א 35,פטורה,05110598,,4B,מניות בארץ,מדד מניות,ת"א 35,741.50,741.50,-0.08,13/09/2018,,,לא מתחייבת לחלק תשלומים,-1.79,11.80,17.52,1.89,א'-ה',101.2,0.000,2.040,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מגדל 4A ת"א 35 קרן נאמנות,פטורה,05131354,,4A,מניות בארץ,מדד מניות,ת"א 35,764.55,764.55,0.28,13/09/2018,,,הינה קרן צבירה-מתחייבת לא לחלק תשלומים,-2.30,2.28,9.17,2.02,א'-ה',17.0,0.000,2.340,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
פסגות 4A ת"אINDEX PLUS 35,פטורה,05119755,,4A,מניות בארץ,מדד מניות,ת"א 35,121.82,121.82,0.73,13/09/2018,,,לא מתחייבת לחלק תשלומים,-2.46,7.04,16.72,1.90,א'-ה',16.3,0.000,0.700,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם 4A KTF ת"א 35,פטורה,05124490,,4A,מניות בארץ,מדד מניות,ת"א 35,114.46,114.46,-0.35,13/09/2018,,,לא מתחייבת לחלק תשלומים,-2.27,7.85,16.17,1.82,,16.3,0.000,0.000,0.030,לא נגבית עמלת הפצה,קסם קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
