תוצאות חיפוש קרנות נאמנות (סה"כ 2062 קרנות)
 21/01/2019 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
FOREST מניות,פטורה,05128616,,,,,,100.32,100.32,-0.19,21/01/2019,,,לא מתחייבת לחלק תשלומים,2.76,2.76,,,,,,,,,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
MTF מח BCHNQNTR,פטורה,05128459,,,,,,102.86,102.86,1.49,17/01/2019,,,לא מתחייבת לחלק תשלומים,6.62,6.62,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח BSEAQNTR,פטורה,05128467,,,,,,103.46,103.46,1.36,17/01/2019,,,לא מתחייבת לחלק תשלומים,4.93,4.93,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח SP5MI13T,פטורה,05128038,,,,,,101.34,101.34,0.23,17/01/2019,,,לא מתחייבת לחלק תשלומים,-1.31,-1.31,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח תלבונד שקל 50,פטורה,05127907,,,,,,102.06,102.06,-0.15,21/01/2019,,,לא מתחייבת לחלק תשלומים,1.30,1.30,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
NDX 100 PTF,פטורה,05127766,,,,,,89.94,89.94,0.97,17/01/2019,,,לא מתחייבת לחלק תשלומים,4.90,4.90,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
איביאי מחקה NASDAQAIRLINE,פטורה,05128442,,,,,,97.68,97.68,0.82,17/01/2019,,,לא מתחייבת לחלק תשלומים,3.94,3.94,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איביאי קונצרני ממוקד,פטורה,05128434,,,,,,98.30,98.30,-0.09,21/01/2019,,,לא מתחייבת לחלק תשלומים,1.05,1.05,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,99.42,99.42,-0.06,21/01/2019,,,לא מתחייבת לחלק תשלומים,0.64,0.64,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר עק מס 4 בנק דיס,פטורה,05128806,,,,,,100.00,100.00,0.00,17/01/2019,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
