תוצאות חיפוש קרנות נאמנות (סה"כ 1955 קרנות)
 10/12/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,94.26,94.26,-1.30,06/12/2018,,,לא מתחייבת לחלק תשלומים,-1.43,-6.42,-6.20,1.61,ב'-ה',25.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות,פטורה,05114285,,4D,גמישות,,,130.23,130.23,-0.39,10/12/2018,,,לא מתחייבת לחלק תשלומים,-1.88,-4.47,-3.07,1.05,א'-ה',35.0,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,6,4D,גמישות,,,101.96,101.93,2.38,03/12/2018,,,לא מתחייבת לחלק תשלומים,2.38,-5.66,-4.54,2.12,,5.7,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,104.81,104.81,-2.38,06/12/2018,,,לא מתחייבת לחלק תשלומים,-3.02,2.78,4.20,1.22,,62.4,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,106.00,106.00,-0.67,06/12/2018,,,לא מתחייבת לחלק תשלומים,-1.51,-1.45,0.29,1.30,,1388.4,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,96.88,96.88,-1.71,06/12/2018,,,לא מתחייבת לחלק תשלומים,-2.88,,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4500.32,4500.32,-0.46,10/12/2018,,,לא מתחייבת לחלק תשלומים,-1.22,1.71,2.43,1.44,א'-ה',235.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,656.52,656.52,-0.97,06/12/2018,,,לא מתחייבת לחלק תשלומים,-0.46,-1.80,-1.79,1.52,ב'-ה',214.9,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,109.96,109.96,-0.37,06/12/2018,,,לא מתחייבת לחלק תשלומים,-0.51,5.11,5.98,0.98,,154.5,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,6,4D,גמישות,,,91.33,91.33,0.02,06/12/2018,,,לא מתחייבת לחלק תשלומים,0.07,,,,ב'-ה',0.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,99.82,99.82,-0.28,06/12/2018,,,לא מתחייבת לחלק תשלומים,0.09,,,0.88,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,120.61,120.61,-1.50,06/12/2018,,,לא מתחייבת לחלק תשלומים,-2.16,14.30,19.66,1.75,,141.9,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,631.57,631.57,-0.07,10/12/2018,,,לא מתחייבת לחלק תשלומים,-0.85,-0.69,2.64,1.34,א'-ה',26.3,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
