תוצאות חיפוש קרנות נאמנות (סה"כ 2052 קרנות)
 05/02/2019 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,92.38,92.38,0.23,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.23,6.77,-11.48,2.42,ב'-ה',18.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,106.91,106.91,0.16,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.16,13.75,3.19,2.85,,37.8,0.000,1.260,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,109.14,109.14,0.67,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.67,9.47,-0.04,2.12,,1025.2,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,101.51,101.51,0.19,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.19,4.70,,,,0.4,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4519.52,4519.52,0.55,05/02/2019,,,לא מתחייבת לחלק תשלומים,1.31,6.08,0.28,1.84,א'-ה',208.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,650.23,650.23,0.78,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.78,6.10,-5.12,1.93,ב'-ה',196.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,109.45,109.45,-0.06,04/02/2019,,,לא מתחייבת לחלק תשלומים,-0.06,2.31,1.98,1.06,,173.0,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,102.19,102.19,1.75,04/02/2019,,,לא מתחייבת לחלק תשלומים,1.75,10.13,,1.57,,8.6,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,117.54,117.54,0.20,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.20,6.15,6.61,2.22,,118.0,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,638.73,638.73,0.47,05/02/2019,,,לא מתחייבת לחלק תשלומים,0.62,3.16,-2.28,1.47,א'-ה',24.9,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,108.93,106.79,0.15,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.15,1.86,-2.12,1.00,,44.4,2.000,0.200,0.020,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,327.11,320.70,0.17,05/02/2019,,,לא מתחייבת לחלק תשלומים,0.29,1.28,-2.09,0.67,א'-ה',51.5,2.000,0.390,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקעות גביש,פטורה,05128582,,4D,גמישות,,,99.92,99.92,-0.49,04/02/2019,,,לא מתחייבת לחלק תשלומים,-0.49,1.06,,,,1.4,0.000,1.550,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,98.06,98.06,0.10,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.10,12.09,-3.82,3.66,,2.1,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,196.49,196.49,0.57,05/02/2019,,,לא מתחייבת לחלק תשלומים,0.93,5.99,-3.53,1.60,א'-ה',335.9,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,,4D,גמישות,,,96.73,96.73,0.51,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.51,5.81,-6.01,1.98,,20.7,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,111.91,111.91,0.63,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.63,7.96,-3.88,2.30,,13.2,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,,4D,גמישות,,,231.44,231.44,0.54,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.54,10.45,-3.57,3.38,ב'-ה',61.0,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,,4D,גמישות,,,108.17,108.17,0.17,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.17,4.94,-2.67,1.66,,24.7,0.000,1.590,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,,4D,גמישות,,,129.05,129.05,0.63,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.63,10.52,1.59,3.23,ב'-ה',173.2,0.000,1.400,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,,4D,גמישות,,,101.44,101.44,-0.08,04/02/2019,,,לא מתחייבת לחלק תשלומים,-0.08,6.84,,1.63,,14.7,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,,4D,גמישות,,,99.74,99.74,0.22,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.22,1.10,,0.67,,32.8,0.000,1.500,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,227.77,227.77,0.29,05/02/2019,,,לא מתחייבת לחלק תשלומים,0.37,4.07,-1.13,1.13,א'-ה',1149.0,0.000,1.880,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,323.48,323.48,0.60,05/02/2019,,,לא מתחייבת לחלק תשלומים,0.66,5.37,-1.38,1.61,א'-ה',159.1,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,,4D,גמישות,,,524.87,524.75,0.58,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.58,7.27,-1.18,2.19,ב'-ה',14.2,0.000,1.500,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב פוקוס 4D גמישה,פטורה,05126081,,4D,גמישות,,,104.75,104.75,0.49,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.49,4.55,2.20,1.74,,9.1,0.000,1.900,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
סיגמא תיק השקעות גמיש,פטורה,05125679,,4D,גמישות,,,96.01,96.01,,04/02/2019,,,לא מתחייבת לחלק תשלומים,,,,,ב'-ה',3.5,0.000,0.690,0.040,0.35%,סיגמא קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
פורטה 4D השקעות,פטורה,05124995,,4D,גמישות,,,102.44,102.44,0.39,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.39,3.39,-3.49,1.46,,109.1,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות 4D תיק השקעות גמיש,פטורה,05118146,,4D,גמישות,,,149.18,149.18,0.13,04/02/2019,,,לא מתחייבת לחלק תשלומים,0.13,2.87,1.73,0.85,ב'-ה',584.1,0.000,1.770,0.040,0.35%,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
