תוצאות חיפוש קרנות נאמנות (סה"כ 1446 קרנות)
 30/08/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,102.65,102.65,0.15,29/08/2018,,,לא מתחייבת לחלק תשלומים,2.57,1.91,5.93,1.42,ב'-ה',33.8,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.79,135.79,-0.23,30/08/2018,,,לא מתחייבת לחלק תשלומים,3.82,-0.39,-5.31,1.19,א'-ה',36.4,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,107.84,107.83,0.30,29/08/2018,,,לא מתחייבת לחלק תשלומים,4.29,-0.19,2.42,1.27,,12.3,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,114.37,114.37,0.62,29/08/2018,,,לא מתחייבת לחלק תשלומים,0.88,12.15,14.02,1.67,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,113.35,113.35,0.31,29/08/2018,,,לא מתחייבת לחלק תשלומים,1.88,5.38,10.99,0.74,,1564.1,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,99.46,99.46,0.30,29/08/2018,,,לא מתחייבת לחלק תשלומים,4.38,-0.54,,1.74,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4667.55,4667.55,-0.07,30/08/2018,,,לא מתחייבת לחלק תשלומים,5.65,5.48,8.82,1.20,א'-ה',236.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,686.64,686.64,0.46,29/08/2018,,,לא מתחייבת לחלק תשלומים,5.87,2.70,5.52,1.58,ב'-ה',221.5,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,112.98,112.98,0.50,29/08/2018,,,לא מתחייבת לחלק תשלומים,3.53,8.00,,1.23,,94.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,4,4D,גמישות,,,99.18,99.18,0.80,29/08/2018,,,לא מתחייבת לחלק תשלומים,3.30,,,,ב'-ה',7.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,4,4D,גמישות,,,103.60,103.60,0.09,29/08/2018,,,לא מתחייבת לחלק תשלומים,2.51,,,,,10.5,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,4,4D,גמישות,,,123.73,123.73,0.36,29/08/2018,,,לא מתחייבת לחלק תשלומים,3.05,17.26,19.77,2.36,,64.0,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,651.99,651.99,-0.03,30/08/2018,,,לא מתחייבת לחלק תשלומים,5.82,2.52,9.69,1.66,א'-ה',27.6,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
