תוצאות חיפוש קרנות נאמנות (סה"כ 1816 קרנות)
 27/11/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
MTF מח BCHNQNTR,פטורה,05128459,,,,,,101.38,101.38,-1.33,26/11/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח BSEAQNTR,פטורה,05128467,,,,,,102.02,102.02,1.39,26/11/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח SP5MI13T,פטורה,05128038,,,,,,100.98,100.98,-0.47,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.36,,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
NASDAQ 100 PTF,פטורה,05127766,,,,,,89.36,89.36,1.02,26/11/2018,,,לא מתחייבת לחלק תשלומים,-4.68,,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
איביאי מחקה NASDAQAIRLINE,פטורה,05128442,,,,,,99.82,99.82,0.60,26/11/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איביאי קונצרני ממוקד,פטורה,05128434,,,,,,99.36,99.36,-0.13,27/11/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,99.42,99.42,-0.20,27/11/2018,,,לא מתחייבת לחלק תשלומים,-0.29,,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלפא טק גמישה,פטורה,05128293,,,,,,99.80,99.80,-0.13,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.19,,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק מניות ארה"ב,פטורה,05128327,,,,,,99.93,99.93,0.00,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.05,,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק תיק השקעות פלוס,פטורה,05128335,,,,,,99.50,99.50,-0.27,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.49,,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מור QEF תיק מנוהל,פטורה,05128376,,,,,,100.20,100.20,-0.07,27/11/2018,,,לא מתחייבת לחלק תשלומים,0.04,,,,,,,,,,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
פסגות כספית פיקדון פלוס,פטורה,05127881,,,,,,100.04,100.04,-0.01,27/11/2018,,,לא מתחייבת לחלק תשלומים,0.00,,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם RUSSELL 2000 KTF ממ,פטורה,05128079,,,,,,88.85,88.85,1.00,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.56,,,,,,,,,,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
תמיר פישמן תיק 1 דיסקונט,פטורה,05128046,,,,,,99.61,99.61,-0.14,27/11/2018,,,לא מתחייבת לחלק תשלומים,-0.29,,,,,,,,,,תמיר פישמן קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
תמיר פישמן תיק 3 דיסקונט,פטורה,05128053,,,,,,99.07,99.07,-0.19,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.48,,,,,,,,,,תמיר פישמן קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,94.17,94.17,0.65,26/11/2018,,,לא מתחייבת לחלק תשלומים,-3.96,-6.51,-4.42,1.42,ב'-ה',29.0,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,132.75,132.75,-0.37,27/11/2018,,,לא מתחייבת לחלק תשלומים,-0.74,-2.62,-0.35,0.95,א'-ה',35.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,98.53,98.51,1.42,26/11/2018,,,לא מתחייבת לחלק תשלומים,-3.22,-8.82,-7.04,1.59,,8.1,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,106.60,106.60,-1.57,26/11/2018,,,לא מתחייבת לחלק תשלומים,-3.68,4.53,6.05,1.38,,67.5,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,106.71,106.71,-0.05,26/11/2018,,,לא מתחייבת לחלק תשלומים,-2.73,-0.79,2.01,1.03,,1510.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4525.48,4525.48,0.07,27/11/2018,,,לא מתחייבת לחלק תשלומים,0.36,2.27,3.40,1.29,א'-ה',234.6,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,655.58,655.58,0.31,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.37,-1.94,-1.99,1.40,ב'-ה',217.7,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,109.76,109.76,0.16,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.69,4.92,6.15,0.88,,121.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,6,4D,גמישות,,,91.33,91.33,-0.07,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.84,,,,ב'-ה',6.5,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,99.67,99.67,-1.03,26/11/2018,,,לא מתחייבת לחלק תשלומים,-3.07,,,,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,122.45,122.45,0.43,26/11/2018,,,לא מתחייבת לחלק תשלומים,0.80,16.04,24.04,1.66,,100.1,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,636.23,636.23,-0.02,27/11/2018,,,לא מתחייבת לחלק תשלומים,0.15,0.04,4.84,1.32,א'-ה',26.4,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,113.02,110.80,-0.23,26/11/2018,,,לא מתחייבת לחלק תשלומים,0.51,2.90,4.35,0.64,,46.6,2.000,0.200,0.020,0.35%,הראל קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,330.96,324.47,0.02,27/11/2018,,,לא מתחייבת לחלק תשלומים,0.20,-0.31,0.88,0.45,א'-ה',53.3,2.000,0.390,0.040,0.35%,הראל קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,94.51,94.51,1.84,26/11/2018,,,לא מתחייבת לחלק תשלומים,-3.90,-5.02,,2.95,,3.7,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,195.75,195.75,-0.02,27/11/2018,,,לא מתחייבת לחלק תשלומים,0.12,-2.32,-1.79,1.18,א'-ה',395.7,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,,4D,גמישות,,,98.49,98.49,-0.32,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.30,-3.55,-3.22,1.46,,29.8,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,109.82,109.82,0.25,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.97,-0.89,1.49,1.94,,20.3,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,,4D,גמישות,,,225.00,225.00,1.64,26/11/2018,,,לא מתחייבת לחלק תשלומים,-2.35,-1.74,-1.87,2.63,ב'-ה',85.4,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,,4D,גמישות,,,107.43,107.43,0.12,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.67,-1.38,-0.57,1.23,,31.4,0.000,1.290,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,,4D,גמישות,,,131.54,131.54,0.94,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.41,6.49,12.30,1.92,ב'-ה',201.6,0.000,0.600,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,,4D,גמישות,,,101.32,101.32,0.17,26/11/2018,,,לא מתחייבת לחלק תשלומים,0.59,,,,,15.6,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,,4D,גמישות,,,101.17,101.17,0.15,26/11/2018,,,לא מתחייבת לחלק תשלומים,0.46,,,,,30.4,0.000,1.500,0.020,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,227.83,227.83,-0.15,27/11/2018,,,לא מתחייבת לחלק תשלומים,-0.32,0.12,1.54,0.79,א'-ה',1300.9,0.000,1.880,0.040,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,328.67,328.66,0.14,27/11/2018,,,לא מתחייבת לחלק תשלומים,0.61,3.10,6.93,1.13,א'-ה',175.1,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב סקיי 4D השקעות,פטורה,05520044,,4D,גמישות,,,529.89,529.76,0.94,26/11/2018,,,לא מתחייבת לחלק תשלומים,1.42,2.93,6.01,1.48,ב'-ה',14.4,0.000,0.820,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב פוקוס 4D גמישה,פטורה,05126081,,4D,גמישות,,,105.50,105.50,0.77,26/11/2018,,,לא מתחייבת לחלק תשלומים,0.81,5.16,,1.33,,9.1,0.000,1.900,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פורטה 4D השקעות,פטורה,05124995,,4D,גמישות,,,105.90,105.90,-0.08,26/11/2018,,,לא מתחייבת לחלק תשלומים,-0.12,1.22,3.32,0.95,,138.4,0.000,1.500,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
