תוצאות חיפוש קרנות נאמנות (סה"כ 2043 קרנות)
 18/12/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,89.56,89.56,-3.64,17/12/2018,,,לא מתחייבת לחלק תשלומים,-6.35,-11.09,-10.88,1.61,ב'-ה',25.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,100.21,100.21,-2.88,17/12/2018,,,לא מתחייבת לחלק תשלומים,-7.27,-1.74,-0.38,1.22,,62.4,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,103.21,103.21,-2.71,17/12/2018,,,לא מתחייבת לחלק תשלומים,-4.10,-4.04,-2.35,1.30,,1388.4,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,95.92,95.92,-0.83,17/12/2018,,,לא מתחייבת לחלק תשלומים,-3.84,,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4409.21,4409.21,-1.05,18/12/2018,,,לא מתחייבת לחלק תשלומים,-3.22,-0.35,0.35,1.44,א'-ה',235.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,639.76,639.76,-1.88,17/12/2018,,,לא מתחייבת לחלק תשלומים,-3.00,-4.31,-4.30,1.52,ב'-ה',214.9,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,108.16,108.16,-1.21,17/12/2018,,,לא מתחייבת לחלק תשלומים,-2.14,3.39,4.24,0.98,,154.5,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,6,4D,גמישות,,,91.37,91.37,-0.03,17/12/2018,,,לא מתחייבת לחלק תשלומים,0.11,,,,ב'-ה',0.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,96.57,96.57,-1.27,17/12/2018,,,לא מתחייבת לחלק תשלומים,-3.17,,,0.88,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,117.06,117.06,-2.91,17/12/2018,,,לא מתחייבת לחלק תשלומים,-5.04,10.94,16.14,1.75,,141.9,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,624.79,624.79,-0.81,18/12/2018,,,לא מתחייבת לחלק תשלומים,-1.91,-1.76,1.54,1.34,א'-ה',26.3,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,110.15,107.99,-1.28,17/12/2018,,,לא מתחייבת לחלק תשלומים,-2.40,0.29,1.42,0.72,,47.0,2.000,0.200,0.020,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,327.77,321.34,-0.35,18/12/2018,,,לא מתחייבת לחלק תשלומים,-1.09,-1.27,-0.16,0.51,א'-ה',53.2,2.000,0.390,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקעות גביש,פטורה,05128582,,4D,גמישות,,,99.44,99.44,-0.31,17/12/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,1.550,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,90.98,90.98,-3.01,17/12/2018,,,לא מתחייבת לחלק תשלומים,-7.22,-8.57,,3.39,,3.3,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,189.97,189.97,-0.84,18/12/2018,,,לא מתחייבת לחלק תשלומים,-3.44,-5.20,-5.06,1.30,א'-ה',382.7,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
