תוצאות חיפוש קרנות נאמנות (סה"כ 2020 קרנות)
 13/12/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
0A FOREST ! אגם,פטורה,05106562,,,,,,155.72,155.72,0.04,13/12/2018,,,לא מתחייבת לחלק תשלומים,-0.07,0.54,0.41,0.11,,172.9,0.000,0.590,0.040,0.35%,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
10/90 1B FOREST,פטורה,05125265,,,,,,101.65,101.65,0.05,13/12/2018,,,לא מתחייבת לחלק תשלומים,-0.39,1.12,1.02,0.20,,438.1,0.000,0.790,0.040,0.35%,פורסט קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
1B FOREST ! אג"ח,פטורה,05108519,,,,,,182.28,182.28,0.06,13/12/2018,,,לא מתחייבת לחלק תשלומים,-0.54,0.63,0.53,0.22,,893.5,0.000,0.880,0.040,0.35%,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
2B 20/80 FOREST,פטורה,05118674,,,,,,112.03,112.03,0.06,13/12/2018,,,לא מתחייבת לחלק תשלומים,-0.63,0.67,0.57,0.28,,386.5,0.000,0.950,0.040,0.35%,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
3B FOREST ! עיטם,פטורה,05108501,,,,,,216.29,216.29,0.07,13/12/2018,,,לא מתחייבת לחלק תשלומים,-0.87,0.70,0.51,0.39,,782.0,0.000,1.170,0.040,0.35%,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
4A MTF אירופה בנקים מגודר,פטורה,05121264,4,,,,,69.39,69.39,2.59,12/12/2018,,,לא מתחייבת לחלק תשלומים,-4.55,-22.27,-21.54,2.31,,7.1,0.000,0.000,0.020,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
4A MTF טכנו ארהב-מגדר סד2,פטורה,05125760,4,,,,,95.00,95.00,0.80,12/12/2018,,,לא מתחייבת לחלק תשלומים,-1.91,,,2.81,,2.8,0.000,0.000,0.020,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
4A PTF אנדקס מנ LARGE CAP,פטורה,05125232,,,,,,110.40,110.40,0.01,13/12/2018,,,לא מתחייבת לחלק תשלומים,-2.19,6.53,,1.80,,3.0,0.000,0.450,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
AERO&DFN 4A MTF מגדר סד-1,פטורה,05123567,4,,,,,129.14,129.14,1.53,12/12/2018,,,לא מתחייבת לחלק תשלומים,-3.43,-1.46,0.11,2.66,,580.1,0.000,0.800,0.020,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
AI BLUESTAR 4B MTF גדר מט,פטורה,05127378,4,,,,,91.89,91.89,1.18,12/12/2018,,,לא מתחייבת לחלק תשלומים,-2.32,,,3.27,,91.0,0.000,0.800,0.020,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
BLSTR BLC TEC 4B MTF נטר$,פטורה,05127436,4,,,,,88.12,88.12,1.40,12/12/2018,,,לא מתחייבת לחלק תשלומים,-2.63,,,,,8.2,0.000,0.800,0.030,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
BLUSTR ATO DRV 4B MTF $US,פטורה,05127451,4,,,,,83.15,83.15,1.39,12/12/2018,,,לא מתחייבת לחלק תשלומים,-3.21,,,2.93,,33.1,0.000,0.800,0.030,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
