תוצאות חיפוש קרנות נאמנות (סה"כ 1436 קרנות)
 09/07/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,99.60,99.60,-0.95,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.96,-1.12,4.22,1.48,ב'-ה',36.1,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,129.98,129.98,0.05,09/07/2018,,,לא מתחייבת לחלק תשלומים,-0.99,-4.65,-8.25,1.29,א'-ה',38.8,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,101.82,101.81,-0.48,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.68,-5.77,-3.94,1.39,,16.7,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,,4D,גמישות,,,100.30,100.30,-1.34,05/07/2018,,,לא מתחייבת לחלק תשלומים,-1.06,-8.79,-5.79,1.60,,19.5,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,109.52,109.52,-0.12,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.69,1.82,9.14,0.72,,1518.8,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,95.50,95.50,-0.41,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.40,-4.50,,,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4360.27,4360.27,0.22,09/07/2018,,,לא מתחייבת לחלק תשלומים,0.24,-1.46,2.08,1.22,א'-ה',244.1,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,642.10,642.10,-0.43,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.48,-3.96,-0.58,1.64,ב'-ה',223.6,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,108.16,108.16,-0.57,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.55,3.39,,1.23,,83.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,94.64,94.64,-0.02,09/07/2018,,,לא מתחייבת לחלק תשלומים,0.01,-5.28,-1.76,1.53,א'-ה',7.2,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,100.75,100.75,-0.50,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.90,,,,,8.3,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,120.42,120.42,-0.03,05/07/2018,,,לא מתחייבת לחלק תשלומים,0.88,14.12,16.40,2.36,,40.8,0.000,1.850,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,611.03,611.03,0.31,09/07/2018,,,לא מתחייבת לחלק תשלומים,-0.63,-3.92,3.49,1.79,א'-ה',29.3,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,111.33,109.15,-0.34,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.26,1.37,4.79,0.64,,46.2,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,325.08,318.71,0.17,09/07/2018,,,לא מתחייבת לחלק תשלומים,-0.24,-2.08,1.30,0.57,א'-ה',59.7,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,106.87,106.87,0.33,05/07/2018,,,לא מתחייבת לחלק תשלומים,0.36,7.40,,2.56,,2.5,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,196.15,196.15,0.17,09/07/2018,,,לא מתחייבת לחלק תשלומים,-0.13,-2.12,1.60,1.29,א'-ה',468.8,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין לפידות 4D השקעות,פטורה,05124961,,4D,גמישות,,,101.49,101.49,-0.50,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.09,-0.61,,1.47,,35.9,0.000,1.500,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
יצירה 4D גמישה,פטורה,05124268,,4D,גמישות,,,111.19,111.19,0.08,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.11,0.34,11.26,2.44,,20.0,0.000,1.450,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
כוון גמישה  4D קרן נאמנות,פטורה,05126420,,4D,גמישות,,,235.73,235.73,-0.09,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.17,2.94,18.82,2.74,ב'-ה',85.7,0.000,1.870,0.080,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מגדל 4D גמישה,פטורה,05123799,,4D,גמישות,,,106.22,106.21,-0.59,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.36,-2.50,0.38,1.15,,48.1,0.000,1.290,0.050,0.35%,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
מודלים 4D גמישה,פטורה,05115829,,4D,גמישות,,,129.26,129.26,-0.09,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.92,4.65,18.16,1.78,ב'-ה',107.0,0.000,0.600,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מוניטר 4D גמישה,פטורה,05127212,,4D,גמישות,,,100.74,100.74,-0.28,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.11,,,,,11.0,0.000,1.200,0.060,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור 4D השקעות,פטורה,05127725,,4D,גמישות,,,99.68,99.68,-0.03,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.09,,,,,6.9,0.000,1.500,0.030,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מור גמישה 4D,פטורה,05109731,,4D,גמישות,,,222.09,222.09,0.07,09/07/2018,,,לא מתחייבת לחלק תשלומים,-0.53,-2.40,1.47,0.98,א'-ה',1498.1,0.000,1.880,0.040,0.35%,מור ניהול קרנות נאמנות (2013) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מיטב 4D גמישה,פטורה,05104765,,4D,גמישות,,,317.70,317.69,0.11,09/07/2018,,,לא מתחייבת לחלק תשלומים,0.09,-0.34,5.68,1.08,א'-ה',150.8,0.000,1.470,0.040,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
