תוצאות חיפוש קרנות נאמנות (סה"כ 2056 קרנות)
 23/01/2019 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
FOREST מניות,פטורה,05128616,,,,,,100.39,100.39,0.09,23/01/2019,,,לא מתחייבת לחלק תשלומים,2.83,2.83,,,,,,,,,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
MTF מח BCHNQNTR,פטורה,05128459,,,,,,100.51,100.51,-2.28,22/01/2019,,,לא מתחייבת לחלק תשלומים,4.19,4.19,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח BSEAQNTR,פטורה,05128467,,,,,,102.41,102.41,-1.01,22/01/2019,,,לא מתחייבת לחלק תשלומים,3.86,3.86,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח SP5MI13T,פטורה,05128038,,,,,,101.32,101.32,-0.02,22/01/2019,,,לא מתחייבת לחלק תשלומים,-1.33,-1.33,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח תלבונד שקל 50,פטורה,05127907,,,,,,101.86,101.86,-0.08,23/01/2019,,,לא מתחייבת לחלק תשלומים,1.10,1.10,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
NDX 100 PTF,פטורה,05127766,,,,,,89.02,89.02,-1.02,22/01/2019,,,לא מתחייבת לחלק תשלומים,3.83,3.83,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
איביאי מחקה NASDAQAIRLINE,פטורה,05128442,,,,,,97.25,97.25,-0.44,22/01/2019,,,לא מתחייבת לחלק תשלומים,3.48,3.48,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איביאי קונצרני ממוקד,פטורה,05128434,,,,,,97.90,97.90,-0.25,23/01/2019,,,לא מתחייבת לחלק תשלומים,0.64,0.64,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,99.40,99.40,0.03,23/01/2019,,,לא מתחייבת לחלק תשלומים,0.62,0.62,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר עק מס 4 בנק דיס,פטורה,05128806,,,,,,100.20,100.20,0.01,22/01/2019,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,,,,,99.60,99.60,-0.45,22/01/2019,,,לא מתחייבת לחלק תשלומים,2.73,2.73,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק מניות ארה"ב,פטורה,05128327,,,,,,97.66,97.66,0.09,22/01/2019,,,לא מתחייבת לחלק תשלומים,5.86,5.86,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק תיק השקעות פלוס,פטורה,05128335,,,,,,98.13,98.13,-0.11,22/01/2019,,,לא מתחייבת לחלק תשלומים,0.98,0.98,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
דיאמונד מניות גלובאלי,פטורה,05128509,,,,,,108.40,108.40,-1.26,22/01/2019,,,לא מתחייבת לחלק תשלומים,5.31,5.31,,,,,,,,,איילון קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
הראל גביש אג"ח ואסטרטגיות,פטורה,05128574,,,,,,98.84,98.84,-0.09,22/01/2019,,,לא מתחייבת לחלק תשלומים,-0.44,-0.44,,,,,,,,,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש אג"ח חבר ללא מנ,פטורה,05128566,,,,,,99.77,99.77,-0.11,23/01/2019,,,לא מתחייבת לחלק תשלומים,-0.42,-0.42,,,,,,,,,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקע ללא מנ,פטורה,05128590,,,,,,98.96,98.96,-0.06,23/01/2019,,,לא מתחייבת לחלק תשלומים,-0.82,-0.82,,,,,,,,,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טקטון 10/90,פטורה,05128475,,,,,,100.87,100.87,-0.05,23/01/2019,,,לא מתחייבת לחלק תשלומים,0.50,0.50,,,,,,,,,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
