תוצאות חיפוש קרנות נאמנות (סה"כ 2052 קרנות)
 10/02/2019 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
FOREST מניות,פטורה,05128616,,,,,,101.96,101.96,-0.29,10/02/2019,,,לא מתחייבת לחלק תשלומים,-0.19,4.44,,,,,,,,,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
MTF מח BCHNQNTR,פטורה,05128459,,,,,,105.92,105.92,-1.85,07/02/2019,,,לא מתחייבת לחלק תשלומים,-1.85,9.80,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח BSEAQNTR,פטורה,05128467,,,,,,107.55,107.55,-0.57,07/02/2019,,,לא מתחייבת לחלק תשלומים,-0.57,9.08,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח SP5MI13T,פטורה,05128038,,,,,,100.32,100.32,0.30,07/02/2019,,,לא מתחייבת לחלק תשלומים,-0.04,-2.31,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח תלבונד שקל 50,פטורה,05127907,,,,,,102.79,102.79,-0.03,10/02/2019,,,לא מתחייבת לחלק תשלומים,0.35,2.02,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
NDX 100 PTF,פטורה,05127766,,,,,,91.07,91.07,-1.01,07/02/2019,,,לא מתחייבת לחלק תשלומים,-0.15,6.22,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
איביאי מחקה NASDAQAIRLINE,פטורה,05128442,,,,,,101.02,101.02,-0.40,07/02/2019,,,לא מתחייבת לחלק תשלומים,1.24,7.49,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איביאי קונצרני ממוקד,פטורה,05128434,,,,,,99.18,99.18,-0.25,10/02/2019,,,לא מתחייבת לחלק תשלומים,-0.49,1.95,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איילון חיסכון דולרי,פטורה,05128699,,,,,,100.00,100.00,0.00,07/02/2019,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,איילון קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,99.78,99.78,-0.01,10/02/2019,,,לא מתחייבת לחלק תשלומים,-0.03,1.00,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
