תוצאות חיפוש קרנות נאמנות (סה"כ 2062 קרנות)
 20/01/2019 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
FOREST מניות,פטורה,05128616,,,,,,100.51,100.51,0.65,20/01/2019,,,לא מתחייבת לחלק תשלומים,2.95,2.95,,,,4.5,0.000,1.200,0.040,0.35%,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
MTF מח BCHNQNTR,פטורה,05128459,2,,,,,102.86,102.86,1.49,17/01/2019,,,לא מתחייבת לחלק תשלומים,6.62,6.62,,,,31.7,0.000,0.800,0.030,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח BSEAQNTR,פטורה,05128467,2,,,,,103.46,103.46,1.36,17/01/2019,,,לא מתחייבת לחלק תשלומים,4.93,4.93,,,,1.4,0.000,0.800,0.030,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח SP5MI13T,פטורה,05128038,2,,,,,101.34,101.34,0.23,17/01/2019,,,לא מתחייבת לחלק תשלומים,-1.31,-1.31,,,,186.5,0.000,0.250,0.000,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח תלבונד שקל 50,פטורה,05127907,,,,,,102.21,102.21,0.08,20/01/2019,,,לא מתחייבת לחלק תשלומים,1.45,1.45,,,,9.0,0.000,0.000,0.030,לא נגבית עמלת הפצה,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
NDX 100 PTF,פטורה,05127766,2,,,,,89.94,89.94,0.97,17/01/2019,,,לא מתחייבת לחלק תשלומים,4.90,4.90,,,,18.1,0.000,0.000,0.020,לא נגבית עמלת הפצה,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
איביאי מחקה NASDAQAIRLINE,פטורה,05128442,2,,,,,97.68,97.68,0.82,17/01/2019,,,לא מתחייבת לחלק תשלומים,3.94,3.94,,,,9.2,0.000,0.800,0.030,לא נגבית עמלת הפצה,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איביאי קונצרני ממוקד,פטורה,05128434,,,,,,98.39,98.39,0.84,20/01/2019,,,לא מתחייבת לחלק תשלומים,1.14,1.14,,,,1.2,0.000,0.650,0.050,0.35%,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,99.48,99.48,0.15,20/01/2019,,,לא מתחייבת לחלק תשלומים,0.70,0.70,,,,11.6,0.000,0.480,0.050,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר עק מס 4 בנק דיס,פטורה,05128806,,,,,,100.00,100.00,0.00,17/01/2019,,,לא מתחייבת לחלק תשלומים,,,,,,,0.000,0.820,0.030,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,,,,,99.12,99.12,0.17,17/01/2019,,,לא מתחייבת לחלק תשלומים,2.24,2.24,,,,0.4,0.000,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק מניות ארה"ב,פטורה,05128327,2,,,,,97.57,97.57,0.85,17/01/2019,,,לא מתחייבת לחלק תשלומים,5.77,5.77,,,,0.3,0.000,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק תיק השקעות פלוס,פטורה,05128335,,,,,,98.25,98.25,0.20,17/01/2019,,,לא מתחייבת לחלק תשלומים,1.10,1.10,,,,0.2,0.000,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
דיאמונד מניות גלובאלי,פטורה,05128509,2,,,,,109.78,109.78,0.65,17/01/2019,,,לא מתחייבת לחלק תשלומים,6.66,6.66,,,,0.2,0.000,1.440,0.050,0.35%,איילון קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
הראל גביש אג"ח ואסטרטגיות,פטורה,05128574,,,,,,98.76,98.76,0.53,17/01/2019,,,לא מתחייבת לחלק תשלומים,-0.52,-0.52,,,,2.7,0.000,0.950,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש אג"ח חבר ללא מנ,פטורה,05128566,,,,,,100.11,100.11,0.56,20/01/2019,,,לא מתחייבת לחלק תשלומים,-0.08,-0.08,,,,3.1,0.000,0.790,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקע ללא מנ,פטורה,05128590,,,,,,99.38,99.38,0.19,20/01/2019,,,לא מתחייבת לחלק תשלומים,-0.40,-0.40,,,,9.8,0.000,0.790,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טקטון 10/90,פטורה,05128475,,,,,,101.11,101.11,0.23,20/01/2019,,,לא מתחייבת לחלק תשלומים,0.74,0.74,,,,7.7,0.000,0.620,0.040,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
