תוצאות חיפוש קרנות נאמנות (סה"כ 1445 קרנות)
 12/09/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,99.81,99.81,-0.43,06/09/2018,,,לא מתחייבת לחלק תשלומים,-1.82,-0.91,3.46,1.14,ב'-ה',33.8,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,133.89,133.89,-0.04,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.40,-1.78,2.48,1.02,א'-ה',36.4,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,104.77,104.76,-0.64,06/09/2018,,,לא מתחייבת לחלק תשלומים,-2.43,-3.04,2.14,1.25,,10.8,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,111.57,111.57,-0.94,06/09/2018,,,לא מתחייבת לחלק תשלומים,-1.80,9.40,12.56,1.28,,66.2,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,111.91,111.91,0.11,06/09/2018,,,לא מתחייבת לחלק תשלומים,-0.87,4.04,7.66,0.77,,1580.7,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,96.03,96.03,-0.33,06/09/2018,,,לא מתחייבת לחלק תשלומים,-2.78,-3.97,,1.41,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4609.74,4609.74,-0.30,12/09/2018,,,לא מתחייבת לחלק תשלומים,-1.24,4.18,7.68,1.13,א'-ה',245.2,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,676.88,676.88,-0.21,06/09/2018,,,לא מתחייבת לחלק תשלומים,-0.94,1.24,4.17,1.31,ב'-ה',230.2,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,111.08,111.08,-0.42,06/09/2018,,,לא מתחייבת לחלק תשלומים,-0.97,6.18,,0.80,,94.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,98.01,98.01,-0.12,06/09/2018,,,לא מתחייבת לחלק תשלומים,-1.07,,,,ב'-ה',7.1,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
