תוצאות חיפוש קרנות נאמנות (סה"כ 1413 קרנות)
 24/04/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,101.34,101.34,0.18,23/04/2018,,,לא מתחייבת לחלק תשלומים,2.01,0.61,7.58,1.30,ב'-ה',39.9,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,134.92,134.92,-0.10,24/04/2018,,,לא מתחייבת לחלק תשלומים,0.08,-1.03,0.66,1.25,א'-ה',40.8,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,106.22,106.20,-0.31,23/04/2018,,,לא מתחייבת לחלק תשלומים,0.79,-1.70,1.25,1.30,,31.4,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,,4D,גמישות,,,104.07,104.07,-1.00,23/04/2018,,,לא מתחייבת לחלק תשלומים,0.32,-5.36,-0.71,1.31,,45.4,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,111.69,111.69,0.43,23/04/2018,,,לא מתחייבת לחלק תשלומים,1.93,3.84,12.31,0.73,,791.3,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,97.38,97.38,-0.32,23/04/2018,,,לא מתחייבת לחלק תשלומים,1.34,-2.62,,,,3.0,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4376.04,4376.04,-0.17,24/04/2018,,,לא מתחייבת לחלק תשלומים,1.00,-1.10,4.62,0.99,א'-ה',275.6,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,654.81,654.81,-1.06,23/04/2018,,,לא מתחייבת לחלק תשלומים,0.66,-2.06,2.25,1.46,ב'-ה',236.1,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,106.80,106.80,-0.32,23/04/2018,,,לא מתחייבת לחלק תשלומים,1.20,2.09,,1.13,,39.3,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,95.84,95.84,-0.01,24/04/2018,,,לא מתחייבת לחלק תשלומים,1.20,-4.08,4.46,1.51,א'-ה',3.8,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
