תוצאות חיפוש קרנות נאמנות (סה"כ 1412 קרנות)
 17/04/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,100.39,100.39,0.06,16/04/2018,,,לא מתחייבת לחלק תשלומים,1.06,-0.34,6.57,1.30,ב'-ה',39.9,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.83,135.83,0.21,17/04/2018,,,לא מתחייבת לחלק תשלומים,0.76,-0.36,1.34,1.25,א'-ה',40.8,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,105.92,105.90,0.18,16/04/2018,,,לא מתחייבת לחלק תשלומים,0.50,-1.98,0.96,1.30,,31.4,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,4,4D,גמישות,,,104.61,104.61,0.35,16/04/2018,,,לא מתחייבת לחלק תשלומים,0.84,-4.87,-0.19,1.31,,45.4,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,111.20,111.20,0.41,16/04/2018,,,לא מתחייבת לחלק תשלומים,1.48,3.38,11.81,0.73,,791.3,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,97.72,97.72,0.77,16/04/2018,,,לא מתחייבת לחלק תשלומים,1.70,-2.28,,,,3.0,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4403.15,4403.15,0.17,17/04/2018,,,לא מתחייבת לחלק תשלומים,1.63,-0.49,5.27,0.99,א'-ה',275.6,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,658.96,658.96,1.06,16/04/2018,,,לא מתחייבת לחלק תשלומים,1.30,-1.44,2.89,1.46,ב'-ה',236.1,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,106.33,106.33,0.29,16/04/2018,,,לא מתחייבת לחלק תשלומים,0.76,1.64,,1.13,,39.3,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,96.24,96.24,0.17,17/04/2018,,,לא מתחייבת לחלק תשלומים,1.63,-3.68,4.89,1.51,א'-ה',3.8,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
