תוצאות חיפוש קרנות נאמנות (סה"כ 2060 קרנות)
 07/01/2019 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,84.85,84.85,-2.17,03/01/2019,,,לא מתחייבת לחלק תשלומים,-1.93,-1.93,-15.76,2.05,ב'-ה',25.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,96.89,96.89,0.08,03/01/2019,,,לא מתחייבת לחלק תשלומים,3.09,3.09,-4.99,2.16,,62.4,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,98.43,98.43,-2.55,03/01/2019,,,לא מתחייבת לחלק תשלומים,-1.27,-1.27,-8.49,1.65,,1388.4,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,95.21,95.21,-1.50,03/01/2019,,,לא מתחייבת לחלק תשלומים,-1.79,-1.79,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4289.48,4289.48,0.14,07/01/2019,,,לא מתחייבת לחלק תשלומים,0.69,0.69,-3.06,1.73,א'-ה',235.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,607.70,607.70,-1.35,03/01/2019,,,לא מתחייבת לחלק תשלומים,-0.84,-0.84,-9.10,1.80,ב'-ה',214.9,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,105.91,105.91,-0.98,03/01/2019,,,לא מתחייבת לחלק תשלומים,-1.00,-1.00,1.24,1.05,,154.5,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,93.84,93.84,-0.38,03/01/2019,,,לא מתחייבת לחלק תשלומים,1.13,1.13,,1.30,,13.1,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,109.94,109.94,-1.63,03/01/2019,,,לא מתחייבת לחלק תשלומים,-0.71,-0.71,4.19,2.00,,141.9,0.000,1.640,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,618.07,618.07,0.06,07/01/2019,,,לא מתחייבת לחלק תשלומים,-0.18,-0.18,-2.81,1.44,א'-ה',26.3,0.000,1.400,0.040,0.35%,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
