תוצאות חיפוש קרנות נאמנות (סה"כ 1437 קרנות)
 05/07/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,100.56,100.56,0.42,03/07/2018,,,לא מתחייבת לחלק תשלומים,-0.01,-0.17,5.22,1.48,ב'-ה',36.4,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,129.74,129.74,-0.40,05/07/2018,,,לא מתחייבת לחלק תשלומים,-1.17,-4.83,-8.42,1.29,א'-ה',39.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,102.31,102.30,-0.13,03/07/2018,,,לא מתחייבת לחלק תשלומים,-0.20,-5.31,-3.48,1.39,,16.7,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,4,4D,גמישות,,,101.66,101.66,0.22,03/07/2018,,,לא מתחייבת לחלק תשלומים,0.29,-7.55,-4.51,1.60,,19.5,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,109.65,109.65,-0.18,03/07/2018,,,לא מתחייבת לחלק תשלומים,-0.57,1.94,9.27,0.72,,1518.8,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,95.89,95.89,0.17,03/07/2018,,,לא מתחייבת לחלק תשלומים,0.01,-4.11,,,,1.4,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4334.49,4334.49,-0.20,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.35,-2.04,1.47,1.22,א'-ה',256.0,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,644.86,644.86,0.14,03/07/2018,,,לא מתחייבת לחלק תשלומים,-0.06,-3.54,-0.15,1.64,ב'-ה',232.6,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,108.78,108.78,-0.38,03/07/2018,,,לא מתחייבת לחלק תשלומים,0.02,3.99,,1.23,,68.2,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,94.61,94.61,-0.03,05/07/2018,,,לא מתחייבת לחלק תשלומים,-0.02,-5.31,-1.80,1.53,א'-ה',5.1,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
