תוצאות חיפוש קרנות נאמנות (סה"כ 1707 קרנות)
 21/11/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,2,4D,גמישות,,,93.01,93.01,-1.71,20/11/2018,,,לא מתחייבת לחלק תשלומים,-5.14,-7.66,-5.59,1.42,ב'-ה',29.0,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,134.04,134.04,-0.08,21/11/2018,,,לא מתחייבת לחלק תשלומים,0.22,-1.67,0.62,0.95,א'-ה',35.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,2,4D,גמישות,,,97.26,97.24,-1.73,20/11/2018,,,לא מתחייבת לחלק תשלומים,-4.47,-10.00,-8.24,1.59,,8.1,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,2,4D,גמישות,,,107.34,107.34,-0.74,20/11/2018,,,לא מתחייבת לחלק תשלומים,-3.01,5.26,6.78,1.38,,67.5,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,2,4D,גמישות,,,105.83,105.83,-1.65,20/11/2018,,,לא מתחייבת לחלק תשלומים,-3.53,-1.61,1.17,1.03,,1510.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,88.94,88.94,-1.05,20/11/2018,,,לא מתחייבת לחלק תשלומים,-2.97,-11.06,,2.07,,0.5,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,99.95,99.95,-0.01,20/11/2018,,,לא מתחייבת לחלק תשלומים,-0.04,,,,,0.0,,0.500,0.040,0.35%,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4519.31,4519.31,0.26,21/11/2018,,,לא מתחייבת לחלק תשלומים,0.22,2.13,3.26,1.29,א'-ה',234.6,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,2,4D,גמישות,,,652.33,652.33,-1.28,20/11/2018,,,לא מתחייבת לחלק תשלומים,-0.86,-2.43,-2.48,1.40,ב'-ה',217.7,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,2,4D,גמישות,,,109.40,109.40,-0.80,20/11/2018,,,לא מתחייבת לחלק תשלומים,-1.01,4.58,5.80,0.88,,121.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
