תוצאות חיפוש קרנות נאמנות (סה"כ 1488 קרנות)
 08/10/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
NASDAQ 100 PTF,פטורה,05127766,,,,,,98.79,98.79,-1.86,04/10/2018,,,לא מתחייבת לחלק תשלומים,-0.89,,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,100.13,100.13,0.09,08/10/2018,,,לא מתחייבת לחלק תשלומים,0.03,,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות כספית פיקדון פלוס,פטורה,05127881,,,,,,100.03,100.03,0.00,08/10/2018,,,לא מתחייבת לחלק תשלומים,0.00,,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם MDAX KTF ממ,פטורה,05128061,,,,,,96.67,96.67,-1.38,04/10/2018,,,לא מתחייבת לחלק תשלומים,-2.13,,,,,,,,,,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
קסם RUSSELL 2000 KTF ממ,פטורה,05128079,,,,,,97.53,97.53,-1.58,04/10/2018,,,לא מתחייבת לחלק תשלומים,-2.68,,,,,,,,,,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
תמיר פישמן תיק 1 דיסקונט,פטורה,05128046,,,,,,99.99,99.99,0.00,08/10/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,תמיר פישמן קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
תמיר פישמן תיק 3 דיסקונט,פטורה,05128053,,,,,,100.00,100.00,0.00,04/10/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,תמיר פישמן קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,103.69,103.69,-0.24,04/10/2018,,,לא מתחייבת לחלק תשלומים,1.23,2.94,5.32,1.18,ב'-ה',32.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.24,135.24,-0.21,08/10/2018,,,לא מתחייבת לחלק תשלומים,-0.59,-0.79,1.88,1.00,א'-ה',37.0,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,106.32,106.31,-0.77,04/10/2018,,,לא מתחייבת לחלק תשלומים,0.41,-1.60,1.28,1.31,,10.8,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
