תוצאות חיפוש קרנות נאמנות (סה"כ 2056 קרנות)
 27/01/2019 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
FOREST מניות,פטורה,05128616,,,,,,101.08,101.08,0.25,27/01/2019,,,לא מתחייבת לחלק תשלומים,3.53,3.53,,,,,,,,,פורסט קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
MTF מח BCHNQNTR,פטורה,05128459,,,,,,103.63,103.63,2.53,24/01/2019,,,לא מתחייבת לחלק תשלומים,7.42,7.42,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח BSEAQNTR,פטורה,05128467,,,,,,105.28,105.28,2.85,24/01/2019,,,לא מתחייבת לחלק תשלומים,6.77,6.77,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח SP5MI13T,פטורה,05128038,,,,,,101.18,101.18,-0.01,24/01/2019,,,לא מתחייבת לחלק תשלומים,-1.47,-1.47,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח תלבונד שקל 50,פטורה,05127907,,,,,,102.01,102.01,0.03,27/01/2019,,,לא מתחייבת לחלק תשלומים,1.25,1.25,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
NDX 100 PTF,פטורה,05127766,,,,,,89.03,89.03,0.03,24/01/2019,,,לא מתחייבת לחלק תשלומים,3.84,3.84,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
איביאי מחקה NASDAQAIRLINE,פטורה,05128442,,,,,,98.46,98.46,0.79,24/01/2019,,,לא מתחייבת לחלק תשלומים,4.77,4.77,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איביאי קונצרני ממוקד,פטורה,05128434,,,,,,98.97,98.97,0.58,27/01/2019,,,לא מתחייבת לחלק תשלומים,1.74,1.74,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,99.58,99.58,0.09,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.80,0.80,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר עק מס 4 בנק דיס,פטורה,05128806,,,,,,100.45,100.45,0.09,24/01/2019,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,,,,,99.60,99.60,0.05,24/01/2019,,,לא מתחייבת לחלק תשלומים,2.73,2.73,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק מניות ארה"ב,פטורה,05128327,,,,,,98.38,98.38,0.54,24/01/2019,,,לא מתחייבת לחלק תשלומים,6.64,6.64,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק תיק השקעות פלוס,פטורה,05128335,,,,,,98.22,98.22,0.06,24/01/2019,,,לא מתחייבת לחלק תשלומים,1.07,1.07,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
דיאמונד מניות גלובאלי,פטורה,05128509,,,,,,109.08,109.08,0.84,24/01/2019,,,לא מתחייבת לחלק תשלומים,5.97,5.97,,,,,,,,,איילון קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
הראל גביש אג"ח ואסטרטגיות,פטורה,05128574,,,,,,98.98,98.98,0.27,24/01/2019,,,לא מתחייבת לחלק תשלומים,-0.30,-0.30,,,,,,,,,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש אג"ח חבר ללא מנ,פטורה,05128566,,,,,,100.47,100.47,0.24,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.28,0.28,,,,,,,,,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
הראל גביש תיק השקע ללא מנ,פטורה,05128590,,,,,,99.64,99.64,0.22,27/01/2019,,,לא מתחייבת לחלק תשלומים,-0.14,-0.14,,,,,,,,,הראל קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
טקטון 10/90,פטורה,05128475,,,,,,101.20,101.20,0.12,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.83,0.83,,,,,,,,,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
טקטון אג"ח,פטורה,05128483,,,,,,101.13,101.13,0.09,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.69,0.69,,,,,,,,,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
י.ל אג"ח ישראל,פטורה,05128350,,,,,,101.95,101.95,0.09,27/01/2019,,,לא מתחייבת לחלק תשלומים,1.45,1.45,,,,,,,,,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
י.ל מדדית ללא מניות,פטורה,05128343,,,,,,101.28,101.28,0.09,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.94,0.94,,,,,,,,,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
י.ל מניות ערך,פטורה,05128368,,,,,,101.92,101.92,0.41,27/01/2019,,,לא מתחייבת לחלק תשלומים,1.77,1.77,,,,,,,,,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
י.ל. 25/75 צמיחה,פטורה,05128491,,,,,,101.40,101.40,0.11,27/01/2019,,,לא מתחייבת לחלק תשלומים,1.39,1.39,,,,,,,,,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מור QEF תיק מנוהל,פטורה,05128376,,,,,,100.06,100.06,0.12,27/01/2019,,,לא מתחייבת לחלק תשלומים,1.06,1.06,,,,,,,,,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
מיטב אג"ח מדורג רכיבבטוחה,פטורה,05128640,,,,,,103.71,103.71,0.19,27/01/2019,,,לא מתחייבת לחלק תשלומים,1.86,1.86,,,,,,,,,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
מיטב אג"ח תשואה כוללת,פטורה,05128632,,,,,,104.88,104.88,0.15,27/01/2019,,,לא מתחייבת לחלק תשלומים,3.75,3.75,,,,,,,,,מיטב דש קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
סיגמא צמודה פלוס,פטורה,05128673,,,,,,100.64,100.64,0.10,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.64,0.64,,,,,,,,,סיגמא קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
סיגמא שקלית פלוס,פטורה,05128681,,,,,,100.12,100.12,0.00,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.12,0.12,,,,,,,,,סיגמא קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
פורט אגח חו"ל,פטורה,05128533,,,,,,99.23,99.23,-0.03,24/01/2019,,,לא מתחייבת לחלק תשלומים,-1.45,-1.45,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פורט אגח ללא מנ,פטורה,05128541,,,,,,97.75,97.75,0.00,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.17,0.17,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פורט מנ ממוקדת,פטורה,05128525,,,,,,98.30,98.30,0.74,24/01/2019,,,לא מתחייבת לחלק תשלומים,3.58,3.58,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות כספית פיקדון פלוס,פטורה,05127881,,,,,,100.09,100.09,0.00,27/01/2019,,,לא מתחייבת לחלק תשלומים,0.02,0.02,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות מניות BUYSIDE חו"ל,פטורה,05128392,,,,,,105.03,105.03,0.26,24/01/2019,,,לא מתחייבת לחלק תשלומים,4.14,4.14,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
פסגות עוקבת תיק 4 דיסקונט,פטורה,05128517,,,,,,101.23,101.23,0.17,24/01/2019,,,לא מתחייבת לחלק תשלומים,1.07,1.07,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
