תוצאות חיפוש קרנות נאמנות (סה"כ 1816 קרנות)
 29/11/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
MTF מח BCHNQNTR,פטורה,05128459,4,,,,,104.36,104.36,2.13,28/11/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח BSEAQNTR,פטורה,05128467,4,,,,,104.86,104.86,1.81,28/11/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
MTF מח SP5MI13T,פטורה,05128038,4,,,,,101.57,101.57,0.04,28/11/2018,,,לא מתחייבת לחלק תשלומים,0.23,,,,,,,,,,מגדל קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
NDX 100 PTF,פטורה,05127766,4,,,,,93.14,93.14,3.04,28/11/2018,,,לא מתחייבת לחלק תשלומים,-0.65,,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
איביאי מחקה NASDAQAIRLINE,פטורה,05128442,4,,,,,101.90,101.90,1.02,28/11/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
איביאי קונצרני ממוקד,פטורה,05128434,,,,,,99.54,99.54,0.03,29/11/2018,,,לא מתחייבת לחלק תשלומים,,,,,,,,,,,אי.בי.אי. ניהול קרנות נאמנות,יובנק חברה לנאמנות בע"מ
אלו עוקב תיק 2 בנק דיסק,פטורה,05127717,,,,,,99.63,99.63,0.05,29/11/2018,,,לא מתחייבת לחלק תשלומים,-0.08,,,,,,,,,,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלפא טק גמישה,פטורה,05128293,4,,,,,99.73,99.73,0.02,28/11/2018,,,לא מתחייבת לחלק תשלומים,-0.26,,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק מניות ארה"ב,פטורה,05128327,4,,,,,99.69,99.69,-0.12,28/11/2018,,,לא מתחייבת לחלק תשלומים,-0.29,,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אלפא טק תיק השקעות פלוס,פטורה,05128335,4,,,,,99.58,99.58,0.26,28/11/2018,,,לא מתחייבת לחלק תשלומים,-0.41,,,,,,,,,,הראל קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
מור QEF תיק מנוהל,פטורה,05128376,,,,,,100.41,100.41,0.06,29/11/2018,,,לא מתחייבת לחלק תשלומים,0.25,,,,,,,,,,מור ניהול קרנות נאמנות (2013) בע"מ,יובנק חברה לנאמנות בע"מ
פסגות כספית פיקדון פלוס,פטורה,05127881,,,,,,100.06,100.06,0.01,29/11/2018,,,לא מתחייבת לחלק תשלומים,0.02,,,,,,,,,,פסגות קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
קסם RUSSELL 2000 KTF ממ,פטורה,05128079,4,,,,,90.25,90.25,2.27,28/11/2018,,,לא מתחייבת לחלק תשלומים,1.01,,,,,,,,,,קסם קרנות נאמנות בע"מ,אלמגור - בריטמן נאמנויות בע"מ
תמיר פישמן תיק 1 דיסקונט,פטורה,05128046,,,,,,99.71,99.71,0.02,29/11/2018,,,לא מתחייבת לחלק תשלומים,-0.19,,,,,,,,,,תמיר פישמן קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
תמיר פישמן תיק 3 דיסקונט,פטורה,05128053,4,,,,,99.45,99.45,0.50,28/11/2018,,,לא מתחייבת לחלק תשלומים,-0.10,,,,,,,,,,תמיר פישמן קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,96.32,96.32,1.65,28/11/2018,,,לא מתחייבת לחלק תשלומים,-1.76,-4.38,-2.23,1.42,ב'-ה',29.0,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,132.73,132.73,-0.17,29/11/2018,,,לא מתחייבת לחלק תשלומים,-0.76,-2.63,-0.36,0.95,א'-ה',35.9,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,100.69,100.67,2.06,28/11/2018,,,לא מתחייבת לחלק תשלומים,-1.10,-6.82,-5.00,1.59,,8.1,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,107.60,107.60,1.38,28/11/2018,,,לא מתחייבת לחלק תשלומים,-2.77,5.51,7.04,1.38,,67.5,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,107.71,107.71,1.10,28/11/2018,,,לא מתחייבת לחלק תשלומים,-1.81,0.14,2.96,1.03,,1510.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4555.69,4555.69,-0.03,29/11/2018,,,לא מתחייבת לחלק תשלומים,1.03,2.96,4.09,1.29,א'-ה',234.6,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,660.99,660.99,1.19,28/11/2018,,,לא מתחייבת לחלק תשלומים,0.45,-1.13,-1.19,1.40,ב'-ה',217.7,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,110.87,110.87,0.79,28/11/2018,,,לא מתחייבת לחלק תשלומים,0.32,5.98,7.22,0.88,,121.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,6,4D,גמישות,,,91.32,91.32,-0.02,28/11/2018,,,לא מתחייבת לחלק תשלומים,-0.85,,,,ב'-ה',6.5,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
