תוצאות חיפוש קרנות נאמנות (סה"כ 1621 קרנות)
 08/11/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,4,4D,גמישות,,,99.17,99.17,1.73,07/11/2018,,,לא מתחייבת לחלק תשלומים,1.14,-1.55,0.66,1.42,ב'-ה',31.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.76,135.76,0.46,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.51,-0.41,1.91,0.95,א'-ה',37.1,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,4,4D,גמישות,,,104.75,104.73,1.36,07/11/2018,,,לא מתחייבת לחלק תשלומים,2.89,-3.06,-1.17,1.59,,9.9,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,4,4D,גמישות,,,112.36,112.36,0.26,07/11/2018,,,לא מתחייבת לחלק תשלומים,1.53,10.18,11.78,1.38,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,4,4D,גמישות,,,111.69,111.69,1.36,07/11/2018,,,לא מתחייבת לחלק תשלומים,1.81,3.84,6.77,1.03,,1595.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,4,4D,גמישות,,,94.69,94.69,2.52,07/11/2018,,,לא מתחייבת לחלק תשלומים,3.31,-5.31,,2.07,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,4,4D,גמישות,,,99.98,99.98,0.00,07/11/2018,,,לא מתחייבת לחלק תשלומים,-0.01,,,,,,,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4630.36,4630.36,0.56,08/11/2018,,,לא מתחייבת לחלק תשלומים,2.68,4.64,5.80,1.29,א'-ה',245.9,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,670.56,670.56,1.20,07/11/2018,,,לא מתחייבת לחלק תשלומים,1.91,0.30,0.25,1.40,ב'-ה',227.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,4,4D,גמישות,,,111.72,111.72,0.57,07/11/2018,,,לא מתחייבת לחלק תשלומים,1.09,6.80,8.05,0.88,,111.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,4,4D,גמישות,,,94.50,94.50,1.94,07/11/2018,,,לא מתחייבת לחלק תשלומים,2.61,,,,ב'-ה',7.0,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,4,4D,גמישות,,,103.00,103.00,0.15,07/11/2018,,,לא מתחייבת לחלק תשלומים,0.17,,,,,10.7,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,4,4D,גמישות,,,125.42,125.42,1.24,07/11/2018,,,לא מתחייבת לחלק תשלומים,3.24,18.86,27.05,1.66,,93.7,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,646.95,646.95,0.32,08/11/2018,,,לא מתחייבת לחלק תשלומים,1.84,1.73,6.61,1.32,א'-ה',28.1,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
